ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
1,MWS-008-1,Proposal,Proposal Soil,Soil and water conservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_1.geojson,2024
2,MWS-008-1,Proposal,Proposal Soil,Reported landslides,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_2.geojson,2024
3,MWS-008-1,Proposal,Proposal Soil,Water source protection related,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_12.geojson,2024
4,MWS-008-1,Proposal,Proposal Soil,Stream reservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_16.geojson,2024
5,MWS-008-1,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,2024
6,MWS-008-1,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,2024
7,MWS-008-1,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,2024
8,MWS-008-1,Proposal,Proposal Irrigation,Minor tank available,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_3.geojson,2024
9,MWS-008-1,Proposal,Proposal Irrigation,Domestic water supply related activities,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_11.geojson,2024
10,MWS-008-1,Proposal,Proposal Irrigation,Minor irrigation related,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_13.geojson,2024
11,MWS-008-1,Proposal,Proposal Irrigation,Water quality improvement,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_1/MWS_008_1_Table_6_14.geojson,2024
