Table 6 1: Key activities proposed for soil and water conservation in MWS-002-1 ,,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost (Rs.),,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,1034,Wetakepotha,1. Development of natural drains - Kandura near the house of Mr. Raseem,1,1,7.172474,80.717046,170 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"17,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Soil conservation practices - near Wetakepotha Mosque (45°) ,2,1,7.174512,80.717534,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Years
,,,3. Soil conservation practices - near Wetakepotha Mosque (45°) ,1,1,7.17517,80.718408,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices - near Deltota Mafawla Ulama Arab School (80°) ,4,1,7.173139,80.718945,2 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"500,000",,Labour and other basic services by the Local community,,0.25 Years
,,,5. Soil conservation practices - near Deltota Arab School (60°) ,4,1,7.172956,80.71791,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Soil conservation practices - near Deltota Arab School Madadeniya (45°) ,1,1,7.172227,80.717838,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000","1,767,000",Labour and other basic services by the Local community,,0.25 Years
2,1037,Medakekila,1. Development of natural drains - Miniranwala Oya,5,1,7.17545,80.705897,1 km,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Arakewela Janapada Kandura,1,1,7.179818,80.708588,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Soil conservation practices - Medakekila (70°) ,3,1,7.174624,80.706709,0.1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"25,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices - Medakekila (75°) ,1,2,7.173663,80.70769,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500",,Labour and other basic services by the Local community,,0.25 Years
,,,5. Soil conservation practices - Medakekila (60°) ,2,3,7.173707,80.709117,3 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"750,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Establishing a retaining wall,1,1,7.172908,80.708957,5 m x 3 m,Retaining wall,"2,000 m-2","30,000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Establishing a retaining wall,4,1,7.172452,80.711725,7 m x 1.5 m,Retaining wall,"2,000 m-2","21,000","1,008,500",Labour and other basic services by the Local community,,0.25 Years
3,1039,Pattiyagama Udagama,1. Development of natural drains - Kandura near the house of Mr. Kumaratunga,4,1,7.158803,80.720361,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Loolkandura,1,1,7.160966,80.716848,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Soil conservation practices - Niththawela (60°) ,5,1,7.15871,80.720126,20 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"5,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices - Pattiyagama (65°) ,5,1,7.159058,80.715036,,"Stone terracing, Lock and spills, as applied",,,,,,
,,,5. Soil conservation practices - Pattiyagama Udagama (70°) ,5,1,7.157552,80.71677,,,,,5210000,,,
4,1040,Gonangoda,1. Development of natural drains - Kalugala Oya,1,1,7.157017,80.706613,750 m,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"75,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Kandura near temple,1,1,7.156739,80.703891,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Development of natural drains - Kandura near the house of Mr. Premasiri,1,1,7.156637,80.70406,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Development of natural drains - Thenna Elehi Kandura,3,1,7.15596,80.707358,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Soil conservation practices - Old Hospital Junction (50°) ,5,1,7.15423,80.706158,18 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"4,500,000",,Labour and other basic services by the Local community,,0.5 Years
,,,6. Soil conservation practices - Old Hospital (60°) ,3,1,7.15573,80.707702,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Soil conservation practices - Sisila Hospital (75°) ,3,1,7.156615,80.70685,4 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,8. Soil conservation practices - Vishwakarma Buddhist Center (80°) ,5,1,7.156902,80.703267,1.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
,,,9. Building a drain,1,1,7.155333,80.708605,300 m x 1 m x 1 m,Drain,"3,000 m-3","900,000","7,140,000",,,
5,1041,Karagaskada North,1. Development of natural drains - Karagaskada Janapadaya Kandura,"5, 2",1,7.176706,80.699059,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,,,,7.177355,80.698206,,,,,,,,
,,,2. Development of natural drains - Kandura near Karagaskada School,1,1,7.175284,80.698999,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Soil conservation practices - Great Valley (Upper) (60°) ,3,1,7.180257,80.697949,60 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"15,000,000",,Labour and other basic services by the Local community,,1 Year
,,,4. Soil conservation practices - Karagaskada North (60°) ,4,1,7.179705,80.699034,8 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"2,000,000",,Labour and other basic services by the Local community,,0.5 Years
,,,5. Soil conservation practices - Karagaskada North (50°) ,3,1,7.177311,80.698373,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500","17,132,500",Labour and other basic services by the Local community,,0.25 Years
6,1042,Karagaskada South,1. Development of natural drains - Riverside Kandura,4,1,7.170504,80.703951,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Leele Weli Kandura,1,1,7.174968,80.70178,320 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"32,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Development of natural drains - Kandura that separates Karagaskada Northa and K. South,3,1,7.174663,80.699966,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Soil conservation practices - either sides of the river (85°) ,1,1,7.170872,80.701206,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000",,Labour and other basic services by the Local community,,0.25 Year
,,,5. Soil conservation practices - Muslim Janapadaya (80°) ,5,1,7.170862,80.701137,2 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"500,000",,Labour and other basic services by the Local community,,0.25 Year
,,,6. Soil conservation practices - Muslim Janapadaya (35 - 40°) ,3,1,7.172783,80.702137,17 ha,"Live fencing/SALT, Planting perennial crops - 10 ha
Lock and spills - 4 ha
Stone terracing - 3 ha","250 m-1
400 m-1
2,500 m-1","2500000
1600000
7500000",,Labour and other basic services by the Local community,,"1 Year
0.25 Years
0.5 Years"
,,,7. Soil conservation practices - Muslim Janapadaya (60°) ,4,1,7.171157,80.704822,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Year
,,,8. Soil conservation practices - Riverside (70°) ,5,1,7.170772,80.704708,6 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.5 Year
,,,9. Soil conservation practices - Riverside (65°) ,3,1,7.171367,80.702324,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Year
,,,10. Establishing a drain - Hajara Mawatha,5,1,7.172395,80.7034,300 m x 1 m x 1 m,Drain,"3,000 m-3","900,000",,Labour and other basic services by the Local community,,0.25 Year
,,,11. Establishinga retaining wall - Riverside Mawatha,5,1,7.170953,80.704587,5 m x 5 m,Retaining wall,"2,000 m-2","50,000","16,077,000",Labour and other basic services by the Local community,,0.25 Year
7,1043,Great Valley Estate,1. Development of natural drains - Great Valley Estate Ela,3,1,7.180335,80.703264,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Great Valley Estate Kandura 2,1,1,7.194288,80.705246,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Development of natural drains - Punchiwaththa Dola,1,1,7.194051,80.709311,800 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"80,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Development of natural drains - Great Valley Estate Kandura 1,5,1,7.194818,80.703922,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Development of natural drains - Great Valley Estate Kandura 3,3,1,7.180065,80.202067,1200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000","360,000",Labour and other basic services by the Local community/ Shramadana,,0.25 Years
8,1044,Gabadagama South,1. Development of natural drains - Kandura near Weaving,4,1,7.15557,80.723566,20 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"2,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Kandura at Weralu Danda Ela,4,1,7.155891,80.723833,250 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"25,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Development of natural drains - Gabadagama Road Kandura,4,1,7.15642,80.724919,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Development of natural drains - Ata Lehe Ela,3,1,7.157876,80.724698,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Development of natural drains - Embulampe Kandura,5,1,7.149464,80.720256,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,6. Soil conservation practices - Gabadagama/ Wijaya Kumaratunga House (25°) ,4,1,7.156442,80.725008,8 ha,"Lock and spills - 5 ha
Stone terracing - 3 ha","400 m-1
2,500 m-1","2000000
7500000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Soil conservation practices - Muththoliya (60°) ,2,1,7.14842,80.721421,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000",,Labour and other basic services by the Local community,,0.25 Years
,,,8. Soil conservation practices - Muththoliya (60°) ,1,1,7.148221,80.721606,4 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,9. Soil conservation practices - Muththoliya (60°) ,2,1,7.15002,80.720492,1.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"375,000","12,182,000",Labour and other basic services by the Local community,,0.25 Years
9,1045,Gabadagama North,1. Development of natural drains - Deekirilla Madiththa Kandura,3,1,7.153818,80.720265,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Rathpahe Kandura,5,1,7.155975,80.717178,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Development of natural drains - Kandura near Kovila,2,1,7.15107,80.717673,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Development of natural drains - Holman Kandura,5,1,7.150506,80.717659,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,5. Development of natural drains - Ibi Kandura,,1,,,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,6. Soil conservation practices - Gabadagama North (30°) ,1,1,7.152363,80.718067,20 ha,"Lock and spills - 5 ha
Stone terracing - 3 ha
Live fencing/SALT, Planting perennial crops 12 ha","400 m-1
2,500 m-1
250 m-1","2000000
7500000
3000000",,"Labour and other basic services by the Local community
Labour and other basic services by the Local community
Labour and other basic services by the Local community",,"0.25 Years
0.25 Years
0.5 Years"
,,,7. Soil conservation practices - near Kovila (50°) ,5,1,7.150842,80.717848,0.1 ha,"Live fencing/SALT, Planting perennial crops 12 ha",250 m-1,"25,000",,Labour and other basic services by the Local community,,0.25 Years
,,,8. Soil conservation practices - Nelligolla Galwala (80°) ,4,1,7.148813,80.719282,1 ha,"Live fencing/SALT, Planting perennial crops 12 ha",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Year
,,,9. Soil conservation practices - Naranhinna (70°) ,4,1,7.14737,80.713383,1 ha,"Live fencing/SALT, Planting perennial crops 12 ha",250 m-1,"250,000","14,225,000",Labour and other basic services by the Local community,,0.25 Years
10,1046,Kandegama,1. Development of natural drains - Kandegama Kandura I,5,1,7.166503,80.714932,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,2. Development of natural drains - Kandegama Kandura II,1,1,7.167883,80.714605,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,3. Soil conservation practices (50°) ,1,1,7.166862,80.715102,4 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,000,000",,Labour and other basic services by the Local community,,0.25 Years
,,,4. Soil conservation practices (45°) ,5,1,7.16724,80.715045,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500",,Labour and other basic services by the Local community,,0.25 Years
,,,5. Soil conservation practices (40°) ,5,1,7.168113,80.713338,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000","1,287,500",Labour and other basic services by the Local community,,0.25 Years
11,1047,Wadiyagoda,1. Development of natural drains - Appallawala Kandura,4,1,7.16671,80.719766,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Kuda Oya Ela,5,1,7.164308,80.721883,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Development of natural drains - Angutubedda Kandura,"3, 2",1,7.164096 7.166305,80.722871 80.722013,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
