Table 6 18: Estimate of water source protection-related activities ,,,,
GND No.,Scheme,Problem to be addressed/Recommendation,N,E
1040,Pattiyagama Ulpatha,"No reservation for the spring and muddy storm water mixes during rainy days. Also Pipelines are Insufficient for distribution. Recommend 
1. to construct two Sabo dams.
2.Dense planting of mixed vegetation comprising Kumbuk/Mee / Godapara / Kaduru / Aththikka / Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 
3. Apply mulching, organic manure and NPK fertilizer. 4. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 400 m2. 5. Extend the pipeline with 25% cost contribution from the community.",7.165773,80.693855
1040,Kelepihilla catchment area - Piyasenapura,"No reservation. Recommend 
1. to demarcate 15 perch area. 
2. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna/Areca /Kithul randomly mixed seedlings at 500 mm grid intervals. 
3. Apply mulching, organic manure and NPK fertilizer. 4. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 300 m2.",7.170562,80.697147
1040,Paththam Palliya asala Ulpatha,"No reservation. Recommend 
1. to demarcate 20 perch area. 
2. Dense planting of mixed vegetation comprising Kumbuk / Mee / Godapara /Kaduru / Aththikka / Wal del / Kekuna / Areca / Kithul randomly mixed seedlings at 500 mm grid intervals. 
3. Apply mulching, organic manure, and NPK fertilizer. 4. Introduction of Bamboo, Vetiver grass, fruits, and riparian plants. Banana cultivation around the boundary. Covered area 400 m2.",7.167982,80.706013
1043,Water source at Great Valley Niwasa 16,"No well and reservation. Recommend 1. to demarcate 10 perch area.
2. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna/Areca /Kithul randomly mixed seedlings at 500 mm grid intervals. 
3. Apply mulching, organic manure and NPK fertilizer.  
4. Introduction of Bamboo, Vetiver grass, fruits and riparian plants. Covered area 200 m2.
5. Construct a 4m diameter 4m depth well using a 400mm thick rubble masonry wall and smooth plastering finish to the protective wall and 2m depth. ",7.176139,80.70201
1042,Sum Ulpatha,"Lack of conservation practices of reservation. 
1. Establishing a boundary (10 perch) by planting banana plants at close intervals is recommended to define the perimeter 
2. Plant a dense bed of mixed vegetation comprising Areca nut trees, Kithul, Kumbuk, Mee, Godapara, Kaduru, Aththikka, Wal del, and Kekuna, randomly mixed seedlings at a 500 mm grid interval.
3. Apply mulching, organic manure, and NPK fertilizer. 
4. Introduction of a few fruit plants. Covered area 200 m2. ",7.174541,80.69902
1037,Arakewela Ulpatha,"Muddy water mixes with the spring water and well need a net. Recommend 
1. Divert stream path away from the well about 10m.
2. Further develop existing vegetation with dense planting of mixed vegetation comprising Areca nut trees /Kithul /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals.
3. Apply mulching, organic manure, and NPK fertilizer. 
4. Introduction of a few fruit plants. 
5. Propagate riparian plants in streams. Covered area 200 m2. 
6. Provide GI frame with 50mmx50mm GI welded mesh and nylon fly mesh as a cover. 
7. Check the water quality from NWS&DB laboratory for the improvement.",7.172548,80.711748
1037,Spring near the Medakekila old church,• Water contamination. We recommend providing a 2mx2m GI frame with 50mmx50mm GI welded mesh and nylon fly mesh as a cover.,7.175557,80.707383
1045,Deekirilla Madiththa Ulpatha,"Surface runoff contaminates spring water, while in the dry season, reduced water levels disrupt household water supply. Additionally, soil erosion in upper lands leads to the siltation of springs. Recommend 1. to form a CBO to manage the system. 
2. Awareness programs to safeguard catchment area/soil water retention/perennial flows.
3. Construction of lock and spill drain with Vetiver grass rows 
4. dense planting of mixed vegetation comprising Areca nut trees /Kithul /Kumbuk/Mee/ Godapara / Kaduru / Aththikka / Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
5. Apply mulching, organic manure, and NPK fertilizer. 
6. Introduction of a few fruit plants. 
7. Propagate riparian plants in streams. Covered area 900 m2.
8. Supply and lay a 63mm PVC supply line and 18mm laterals for houses with a 50% community contribution.",7.152117,80.717295
1047,Mee Gahayata Ela,"Lack of conservation of water source. Recommend 1. To provide 1200mm high x1200mm wide x1200 mm long x 125mm thick RCC ""L"" shape structure to support water pipe and facilitate bathing. 2. Introduce 2m wide dense forest belt with riparian plants around the water source about 50m long.",7.16487,80.721175
1034,Spring near the Wetakepotha Mr. Sanun's house,Absence of a cover for the spring. Abandoned Well at present.,7.172415,80.717599
