Table 6 24: Total Cost Estimate for Stream Reservation Proposals,,,,,,
No,GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
1,1040,Torrent of Thenne Ela ,"Soil erosion of lands on both sides. Recommend planting two rows of areca nut seedlings, Gliricidia, and pepper/ Betel creepers for a distance of 200m mixed with riparian plants.",7.15596,80.707358,"47,000"
2,1040,Kalugala Oya,"Soil erosion of lands on both sides is about 750 m in length. Recommend 1. Construct (3mx2mx1m) three SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara / Kaduru / Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2 ",7.157017,80.706613,"590,400"
3,1040,Torrent near the temple,"Soil erosion of lands on both sides is about 700m in length. Recommend 1. Construct (2mx2mx1m) two SABO-boulder dams across the stream where the canal is steep. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2 ",7.156739,80.703891,"280,000"
4,1040,Torrent neat Mr. Premasiri’ s House,Soil erosion of lands on both sides due to steepness. Recommend 1. to construct a few leaders drain drop structures of a total of 100m in length. 2. Grow areca nut trees and Betel or pepper creepers along the canal embankment for 300m length.,7.156637,80.70406,"270,500"
5,1043,Greatweliya torrent 2,"Soil erosion of lands on both sides is about 100 m in length. Recommend 1. Construct (3mx2mx1m) one SABO-boulder dam across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2 ",7.194288,80.705246,"170,000"
6,1043,Greatweliya torrent 1,"Soil erosion of lands on both sides is about 750 m in length. Recommend 1. Construct (3mx2mx1m) two SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara / Kaduru / Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ",7.194818,80.703922,"233,500"
7,1043,Greatweliya torrent 3,"Soil erosion of lands on both sides is about 800 m in length. Recommend 1. Construct (2mx2mx1m) two SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ",7.180065,80.202067,"226,800"
8,1043,Greatweliya Ela 1,"Soil erosion of lands on both sides is about 500 m in length. Recommend 1. Construct (2mx2mx1m) three SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2 ",7.180335,80.703264,"340,200"
9,1043,Ounchi Waththa Dola,"Soil erosion of lands on both sides is about 700 m in length. Recommend 1. Construct (3mx2mx1m) three SABO-boulder dams across the stream.
2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2  ",7.194051,80.709311,"403,500"
10,1046,Kandegama torrent 1,"Soil erosion of lands on both sides is about 600 m in length. Recommend 
1. Construct (2mx2mx1m) three SABO-boulder dams across the stream. 
2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ",7.166503,80.714932,"173,400"
