Table 6 35: Five year plan MWS-002-1,,,,,,,,,,,
,GN Division,Extent (ha),,,,,,,,,
,,2024 RP,2024 DP,2025 RP,2025 DP,2026 RP,2026 DP,2027 RP,2027 DP,2028 RP,2028 DP
1040,Gonangoda,1,0.5,2,1,2,1,1,2,-,2
1043,Greatweliya,1,3,1,1,1,1,1,1,-,1
1046,Kandegama,2,2,1,1,1,1,-,1,1,1
1041,Karagaskada North ,-,1,1,1,-,1,-,-,-,1
1042,Karagaskada South,-,1,-,1,-,1,-,-,-,-
1037,Medakekila,-,1,1,-,-,-,1,-,1,-
1045,Pattiyagama Gabadagama North,1,1,-,1,1,1,-,-,1,1
1044,Pattiyagama Gabadagama South,1,2,1,1,-,-,-,1,-,-
1039,Pattiyagama Udagama,1,1,1,1,-,-,-,-,-,1
1047,Wadiyagoda,1,1,-,1,-,-,-,1,-,1
1034,Wetakepotha,1,1,-,1,-,-,-,-,-,-
,Total,9,14.5,8,10,5,6,3,6,3,8
