Table 6 4: Salient details of Kandethenna Wewa,and Gurugal Oya Reservoir,
Tank Name,Kandethenna Wewa,Gurugal Oya Reservoir
GN,Wetakepotha - 1034,Pattiyagama Gabadagama South - 1044
MWS,MWS-002-1 ,MWS-002-1  
DS,Deltota,Deltota
District,Kandy,Kandy
Ownership,DAD,DAD
Construction,1992,2018
"Location (Lat, Lon)","7.19354 N, 80.70804 E","7.15780 N, 80.72799 E"
Agro-Ecological zone,WM2,WM2 
Water Surface Area (approx.) (ha),6.5,1.2
Tank capacity (m3),936500,63000
Catchment Area (gross) (km2),5.1 ,
Total command area (ha),490,485
Farm Organisation,,
F.O. registration number,,
Reservations are available or not,Yes,Yes
Reservations are marked or not,No,No
Bund,Earthen,Concrete wall + Earthen
Bund Length (m),128,110
Top width (m),6,12
Visible bund height (m),18,24
US & DS slopes (h/b),1:2 both,1:2 both Earthen
Availability of rip rap ,yes,yes
Spillway,,
Station (km+m),Middle,Towards RB
Type,Morning Glory,Radial Gate
Length (m),4m,12
Observed Afflux (m),0.15,-
Duration of spilling (days),100,7
Sluices,,
No of Sluices (nos),1,1
Station/s (km+m),Middle,0+030
Type/s,Tower,Tower
Barrel size/s (mm),600,900
Command area of the sluice (ha),490, 485
Observations / Damages,Good Condition,Good Condition
Recommendation         ,1. Provide a Vetiver grass edge along the HFL boundary ,1. Provide a Vetiver grass edge along the HFL boundary 
,"2. Provide 3000 sqm of dense randomly mixed potential natural vegetation, agave, areca, and vetiver plantation along the perimeter with a few varieties of fruits and spices.","2. Provide 6000 sqm dense randomly mixed potential natural vegetation, agave, areca, and vetiver plantation along the river bank reservation with few varieties of fruits and spices."
