Table 6 46: Expenditure Estimate for training programs,,,,,,,,
No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS),Project Con. (RS),Proposed training Partner
1,"Project Awareness and Orientation Program (MWS-001,002-1, 006-2 and 008-2)",Budget was allocated under MWS-001 (Deltota),,,,,,PMU
2,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS-001 (Deltota),,,,,,DOA/TBD
3,Water Management Training for the Development officer of DAD ,Budget was allocated under MWS-003 (Pathahewaheta),,,,,,
4,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-001 (Deltota),,,,,,NRMC+ DEA
5,Good Practices of Agrochemical Application Training for ARPA and EDOs,Budget was allocated under MWS-001 (Deltota),,,,,,DOA/ NRMC/ University 
6,Climate Change Adaptation Training for MWMC (including technical committee members),1,1,28,"69,820","2,500","67,320",DOA/University 
7,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-001 (Deltota),,,,,,District Engineer of District Secretariat 
8,Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT),Budget was allocated under MWS-001 (Deltota),,,,,,CBSL Matale Regional office/CBSL HO
9,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-001 (Deltota),,,,,,NWSDB / NRMC 
10,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment,Budget was allocated under MWS-001 (Deltota),,,,,,DOA/ NRMC /University 
Training for Communities,,,,,,,,
11,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",8,1,320,"548,160",-,"548,160",Agriculture Park DoA
12,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,8,1,320,"496,800",-,"496,800",NRMC/DOA
13,Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers,8,1,320,"488,400",-,"488,400",DOA
14,Established Farmer Field School ,Budget was allocated under MWS-001 (Deltota),,,,,,AI & EDO
15,Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers,8,1,320,"254,400",-,"254,400","AI, ARPA, and EDO/NRMC"
16,"Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND",8,1,320,"254,400",-,"254,400","AI, ARPA and EDO"
17,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,11,1,550,"728,200",-,"728,200",DOA/NRMC
18,Green Skill and Green Technology Concept for Youth and GPC members ,11,1,330,"730,400","27,500","702,900",DOA
19,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs),11,1,440,"421,300",-,"421,300", EDOs and SDO
20,Conduct Refresher Training on Household Money Management for GPC and Community Members ,11,1,440,"295,900",-,"295,900",EDO and SDO
21,Climate Change Adaptation training for GPC and selected farmers,11,1,440,"562,100",-,"562,100","AI, EDO"
22,Conduct Field Day on Climatic Training Adaptation,11,1,440,"327,800",-,"327,800",AI & EDO
23,Career Guidance & Career Fair Event (Deltota DSD) ,Budget was allocated under MWS-001 (Deltota),,,,,,Skills Development Officer & Human Resources Development Assistant of DSD
24,Gender and Social Inclusion Training ,1,1,91,"98,590","2,500","96,090",TBD
25,Training for school children on Environmental Conservation and Social Responsibility: Protecting the Environment- For Student (Grade 11 and Above at Deltota DSD),Budget was allocated under MWS-001 (Deltota),,,,,,
26,Community Training on Forest Conservation,Budgeted Under forest plan,,,,,,Forest Department
27,Community Training - livelihood and Marketing,,,,,,,
,,,,,"1,465,000",,"1,465,000",
,Total Estimated budget ,108,,"4,359","6,741,270","32,500","6,708,770",
