Table 6 10: Estimate of water source protection-related activities,,,,,
GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
977,Diyanilla Pihilla,"Absence of a reservation for the spring and encroachment. Recommend acquiring a reservation of 10mx30m. Then need mixed dense plantations of Mee, Kumbuk, Kithul, Kekuna, Vetiver grass etc. for 300 sqm area with riparian plans and areca nut.",7.21198,80.67683,"160,200"
977,Spring of Bellwood Estate,"The reservation is not conserved, and no boundaries demarcated. Recommend to Demarcate 20 acre area and introduce scattered multiple strip (10mx30m) mixed dense plantations of Mee, Kumbuk, Kithul, Kekuna, Vetiver grass etc. for 300 sqm area with few fruit varieties and areca nut for total 4500 sqm.",7.20622,80.68576,"2,403,000"
980,Spring near the Ambalammana School,"No reservation. Improper installation of pipelines from the spring. Over-exploitation of the spring. 
1. Recommended: Acquire a reservation of 10mx60m.
2. Then need mixed dense plantations of Mee, Kumbuk, Kithul, Kekuna, Vetiver grass, etc, for a 600 sqm area with riparian plans and areca nut. 
3. Construct a ferro cement storage tank of 25m3. 
4. Form a CBO with all stakeholders and lay a main delivery line and distribution lines through collective funding. 
5. Assign operation and maintenance responsibility to CBO.",7.21344,80.67042,"870,400"
981,Malberiya spring,The pipeline distributing water to the line houses (600 persons) is dilapidated. It is recommended to replace the pipeline completely. Allow Item sum ,7.20263,80.65728,"400,000"
981,Dunaliya Uda Kotasa Pansal Waththa Kandura,The spring is not covered. Recommend providing 1mm thick x 3mx3m RCC slab with a manhole.,7.21021,80.65112,"44,500"
981,Kithulmulla Uda Kotasa Ulpatha 1,"The spring is not covered. Recommend 1. to construct a 3m high x1.5m diameter cylindrical well using precast concrete rings with a cover and gravel filter around the well. 
2. Dense natural vegetative cover mixed with riparian varieties and areca nut of 100sq.m area.",7.22638,80.64656,"135,000"
981,Kithulmulla Uda Kotasa Ulpatha 2,"Leakages from the tank constructed at the spring. Recommend.
1. Clean and apply two coats of Cementous Xypex concentrate or equivalent crack-sealing compound to the tank's internal surface.
2. Clean and apply two coats of algae-resistant exterior painting to the tank's outer surface.",7.22228,80.6451,"49,750"
981,Kithulmulla Uda Kotasa Ulpatha 3,The concrete cover that covers the spring is dilapidated. Recommend providing 125mm thick 1mx1m RCC cover constructed in two pieces with lifting hooks for the convenience of removing and placing.,7.22257,80.64426,"9,500"
981,Kithulmulla Uda Kotasa Ulpatha 4,The concrete cover that covering the spring is dilapidated. Recommend providing 1mx2m x125mm thick RCC slab.,7.22217,80.64442,"17,500"
981,Kithulmulla Uda Kotasa Ulpatha 5,The concrete cover that covering the spring is dilapidated. Recommend to provide 125mm thick 1mx1.2 m RCC cover with constructed in two pieces with lifting hooks for the convenience of removing and placing.,7.22216,80.64453,"10,500"
981,Kithulmulla 54 Aluth Idama,Leakages from the well. Recommend excavating around the well for 1.5m depth and 500mm wide circular strip and fill coarse sand with pebbles.,7.21856,80.65458,"9,500"
979,Little Weliya Ihala Ulpatha,"The reservation is not properly conserved. Recommend. Dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of riparian plants within water holes. Covered area 250 m2.",7.17698,80.68351,"133,500"
979,Heidiwaththa Ihala Ulpatha,"Absence of a reservation for the spring and selling the area to the private parties. Recommend to demarcate 10 perch land and 1. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of riparian plants within water holes. Covered area 250 m2.",7.17871,80.68408,"136,250"
976,Gallanthenna Stream,"Spring area is not covered and wastes mixing with the spring through human and animal activities.
Vegetables are cultivated in upper lands, leading to contamination with pesticides.
Fires in nearby lands leading to damage to spring and pipelines. Recommend 1. Demarcate an area of about 10 acres as a reservation and boundary should be agave plants and banana at close intervals. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of riparian plants within water holes. Covered area 2500 m2 as several strips.",7.19482,80.6896,"1,360,000"
976,Udakala Gammanaye Ulpatha,"The spring has an open tank and a water pump. Electricity facilities are also available but are currently non-operational due to a lack of maintenance. Recommendation 1: A CBO should be formed to operate and maintain the system. 
2. Demarcate an area of about 40 perch as a reservation, and the boundary should be grown banana plants at close intervals. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of riparian plants within water holes. Covered area 600 m2. Finally, as a second priority after establishing all the above is to provide solar panels to operate the pump and ground tank with 50% community support.",7.18524,80.67965,"640,400"
,Total cost,,,,"LKR 6,380,000"
