Table 6 14: Details related to water pollution in MWS-001 belongs to Deltota DS Division,,,,,,,,,,,,,
No.,GND No.,GN Division,Non-point sources of pollution,N or X,E or Y,Point sources of pollution,N or X,E or Y,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame to implement
1,976,Uda Deltota,1. Addition of household wastes/garbage to Galaha Oya,7.198112,80.67689,Addition of industrial waste to drainage paths/kandura and then to paddy fields,7.19809,80.67154,Awareness program on how to disposal household waste properly and converting them to usable products such as compost,,"50,000",Local/Central governments ,0.5 Years
,,,,7.193257,80.687735,,,,Facilitating garbage collection,,,,
,,,,7.198085,80.671542,,,,,,,,
,,,,7.194838,80.678068,,,,,,,,
,,,,7.198085,80.671542,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection
Establishing a filter at the Kandura coming from Galaha town",,200000,,
2,977,Palugama,1. Addition of household wastes / glass bottles to the road - Palugama,7.215522,80.671054,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection",,"50,000",Local/Central governments ,0.5 Years
3,978,Galaha,1. Addition of household wastes to Galaha Oya and then to Mahaweli River,7.202311,80.662265,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection",,"50,000",Local/Central governments ,0.5 Years
4,979,Suduwella,1. Addition of household wastes to Hydewaththa,7.182542,80.683132,,,,Awareness program on how to disposal household waste properly and converting them to usable products such as compost,,"50,000",Local/Central governments ,0.5 Years
,,,2. Addition of household wastes to Hydewaththa Kandura,7.179307,80.684663,,,,Facilitating garbage collection,,,,
5,980,Perawatta East,No special issues reported,,,,,,,,,,
6,981,Perawatta West,Addition of household wastes to Galaha Waththa Oya and then to Mahaweli River,7.202311,80.662265,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection",,"50,000",Local/Central governments ,0.5 Years
,,,,,,,,,Grand Total,,"450,000",,
