Table 6 16: Total Cost Estimate for Stream Reservation Proposals,,,,,
GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
978,Muthusenawaththa Culvert,Soil erosion of lands on both sides. Recommend to constructs a leader drain 1mx1mx100m long with a cascaded drop.,7.19529,80.66995,"220,000"
978,Galaha Oya,"Soil erosion of lands on both sides of very long distance over 10km. Recommend 1.Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval. 
2. Apply mulching, organic manure and NPK fertilizer. 
3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 5000 m2.",7.20239,80.66243,"2,670,000"
977,Diyanilla Kandura,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper creepers for a distance of 50m.",7.21146,80.67653,"47,000"
977,Palugama Kandura,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 400m.",7.20713,80.67586,"188,000"
977,Bellwood Janapada Waththa Kandura,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper creepers for a distance of 300m.",7.20605,80.67608,"141,000"
977,Bellwood Janapada Waththa Kandura 2,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper /betel creepers for a distance of 400m.",7.20933,80.68338,"188,000"
977,Bellwood Janapada Waththa Kandura 1,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 500m.",7.20622,80.68576,"235,000"
980,Podi Oya,"High soil erosion of lands on both sides during rainy days. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers mixed with riparian plants for a distance of 600m.",7.20319,80.66975,"282,000"
981,Torrent near Mrs. Samantha's house,"Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 50m long leader drain with drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m mixed with riparian plants.",7.20118,80.66105,"147,000"
981,Torrent near Malberiya,"Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m mixed with riparian plants.",7.20296,80.65843,"47,000"
