Table 6?33: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Uda Deltota-2000, Palugama-1500, Galaha-2000, Suduwella-2000, Perawatta west-2000",9500,80,"760,000",50%,"380,000"
,Electric fence,"Palugama-2 Uda Deltota5, Galaha-4 Suduwella-3, Perawatta west-5",19,"36,000","684,000",50%,"342,000"
Vegetable,Capsicum,"Palugama, Uda Deltota, Galaha, Suduwella, Perawatta west",50,"40/perches unit - 20g. 3,000","150,000",100%,
,Cabbage,"Palugama, Suduwella, Perawatta west",Perch 440/ seeds 220g,"40/perches unit - 20g. 6,000","66,000",100%,"66,000"
,Green chili,"Palugama, Uda Deltota, Galaha, Suduwella, Perawatta west",60,"40/perches unit - 50g. 1,500","90,000",100%,
,Beans,"Palugama, Suduwella, Perawatta west",Perches 640/seed 24kg,"40/perches unit - 1500g. 4,500","73,500",100%,"73,500"
,Tomato,"Suduwella, Perawatta west", Perch 800/seeds 200g,"40/perches unit - 10g. 6,000","120,000",100%,"120,000"
Fruits,Banana,"Palugama, Suduwella, Perawatta west",Plant 700,120,"84,000",100%,"84,000"
,Avocado,"Suduwella, Perawatta west",Plant 150,200,"30,000",100%,"30,000"
,Mango,"Suduwella, Perawatta west",Plant 175,300,"52,500",100%,"52,500"
Export Crops,Coffee,"Palugama, Uda Deltota, Galaha, Suduwella, Perawatta west",3500,30,"105,000",100%,"105,000"
,Pepper,"Palugama, Uda Deltota, Galaha, Suduwella, Perawatta west",2000,40,"80,000",100%,"80,000"
Livestock,No of cow,"Suduwella -10,palugama-10",20,"250,000","5,000,000",50%,"2,500,000"
,No of goat,"Perawatta west-50 palugama-20, suduwella-10",80,"40,000","3,200,000",50%,"1,600,000"
,No of chicks,"Galaha-50, suduwella-200, palugama-250, Perawatta west-200",700,"1,500","1,050,000",50%,"525,000"
,No of sheds – cow,"Galaha-3, palugama-7.suduwella-7,Perawatta west-8",25,"300,000","7,500,000",50%,"3,750,000"
,No of sheds – goat,"Galaha-6,suduwella-13,palugama-5",24,"150,000","3,600,000",50%,"1,800,000"
Protected Agriculture,Polytunnel,"suduwella-10,palugama-3, Perawatta west-10",23,"700,000","16,100,000",50%,"8,050,000"
Value added products,Beekeeping (Box 4000/= & 4000/= bees),"Palugama, Uda Deltota, Galaha, Suduwella, Perawatta west",10,"8,000","80,000",75%,"60,000"
,Curry powder grinding,Perawatta west,8,"120,000","960,000",50%,"480,000"
,Jackfruit drying machines,Perawatta west,1,"850,000","850,000",50%,"425,000"
,Ginger slicing machine,Perawatta west,2,"150,000","300,000",50%,"150,000"
,Areca nut-slicing machines,Perawatta west,2,"150,000","300,000",50%,"150,000"
Total Cost,,,,,,,"20,823,000"
