Table 6 37: Expenditure Estimate for training programs,,,,,,,,
No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS),Project Con.(RS),Proposed training Partner
1,"Project Awareness and Orientation Program (MWS-001,002, 006-2 and 008-2)",3,1,233,"202,400","7,500","194,900",PMU
2,Training of Trainers (for selected officers at DSD level),1,3,20,"364,750","90,000","274,750",DOA/TBD
3,Water Management Training for the Development officer of DAD ,Budget was allocated under MWS-003 Pathahewaheta,,,,,,
4,Agriculture productivity improvement training for ARPAs and EDOs,2,3,58,"857,120","208,800","648,320",Natural Resources Management Center+ Export Agriculture Department
5,Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs,2,1,58,"141,220","5,000","136,220",DOA/ Natural Resources Management Center/University 
6,Climate Change Adaptation Training for MWMC (including technical committee members),1,1,24,"66,660","2,500","64,160",DOA/University 
7,Construction Supervisory – Basic Training for Economic Development Officers,1,1,29,"70,610","2,500","68,110",District Engineer of District Secretariat 
8,Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT),2,1,58,"77,220","5,000","72,220",CBSL Matale Regional office/CBSL HO
9,Water Quality Parameters and Testing Training for EDO ,1,1,29,"70,610","2,500","68,110",National water supply and drainage board/Natural Resources Management Center
10,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Deltota DSD),1,1/2 day,20,"49,800","2,500","47,300",DOA/ Natural Resources Management Center/University 
Training for Communities,,,,,,,,
11,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",5,1,200,"318,000",-,"318,000",Agriculture Park DoA
12,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,5,1,200,"328,500",-,"328,500",Natural Resources Management Center/DOA
13,Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND,5,1,200,"323,250",-,"323,250",DOA
14,Develop Farmer Field School ,10,1,25,"1,000,500",,"1,000,500",AI & EDO
15,Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers,5,1,200,"159,000",-,"159,000","AI, AR&PA and EDO/Natural Resources Management Center"
16,"Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND",5,1,200,"159,000",-,"159,000","AI, AR&PA and EDO"
17,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,6,1,300,"397,200",-,"397,200",DOA/NRMC
18,Green Skill and Green Technology Concept for Youth and GPC members ,6,1,180,"398,400","15,000","383,400",DOA
19,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs),6,1,240,"229,800",-,"229,800", EDOs &SDO
20,Conduct Refresher Training on Household Money Management for GPC and Community Members ,6,1,240,"161,400",-,"161,400",EDO and SDO
21,Climate Change Adaptation training for GPC and selected farmers,6,1,240,"306,600",-,"306,600","AI, EDO"
22,Conduct Field Day on Climatic Training Adaptation,6,1,240,"178,800",-,"178,800",AI & EDO
23,Career Guidance & Career Fair Event (Deltota DSD) ,1,1,200,"138,500","2,500","136,000",Skills Development Officer & Human Resources Development Assistant of DSD
24,Gender and Social Inclusion Training ,1,1,56,"70,940","2,500","68,440",TBD
25,Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Deltota DSD),13,1-2 Hours,500,,,,
26,Community Training on Forest Conservation,Budgeted Under forest plan,,,,,,Forest Department 
27,Community Training - livelihood and Marketing,,,,"1,225,000",,"1,225,000",
,Total Estimated Budget ,100,,"3,750","7,295,280","346,300","6,948,980",
