Table 6 4: Unit rates of different reservation protection methods,,,,,,
Item,Description,,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for stream reservation protection by earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m ,,,,,,
1,Cutting bench of 1.5m wide and 100m long -labour,,1,Days,2000,"2,000"
2,"Earth excavation from borrow area forming channel bund including cutting, transporting, trimming, forming, watering & Compaction. (upto 1 km) For Channels DAD L 6",,75,cum,778,"58,350"
3,"Turfing to new sloping soil surface DAD D 01 or planting a single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc",,60,sqm,400,"24,000"
4,Compost manure ,,40,kg,30,"1,200"
5,Maintenance for two months,,2,,2000,"4,000"
,Total ,,,,,"89,550"
Estimate for canals reservation protection by concrete lining For 100mm thick 0.4m wide and 0.3m high and 100m long canal - single banking,,,,,,
1,Demolition of dilapidated canal -labour,,0.5,nos,2000,"1,000"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",,8,cum,37000,"296,000"
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2reuse less 25%",,70,sqm,2800,"147,000"
4,"Labour for site preparation, clearing, curing concrete, etc",,0.5,Days,2000,"1,000"
5,Allow for setting out.,,,,,500
6,Allow for rubber water stop,,,,,750
7,Allow for backfill after construction,,1,Days,2000,"2,000"
,Total,,,,,"448,250"
"Estimate for canals reservation protection by concrete lining for 100mm thick, 0.3m wide, and 0.3m high and 100m long canal - double banking",,,,,,
1,Demolition of the dilapidated canal-labour,,0.5,nos,2000,"1,000"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",,11,cum,37000,"407,000"
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",,120,sqm,2800,"252,000"
4,"Labour for site preparation clearing, curing concrete etc",,0.5,Days,2000,"1,000"
5,Allow for setting out,,,,,500
6,Allow for rubber water stop,,,,,750
7,Allow for backfill after construction,,1,Days,2000,"2,000"
,Total,,,,,"664,250"
