Table 6 5: Unit rates for canals reservation protection by concrete lining ,,,,,
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for canals reservation protection by concrete lining For 125mm thick 0.4m wide and 0.5m high and 100m long canal - single banking,,,,,
1,Demolition of dilapidated canal -labour,1,nos,2000,"2,000"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",11.25,cum,37000,"416,250"
3,"Shuttering in 12 mm(1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",92.5,sqm,2800,"194,250"
4,"Labour for site preparation clearing, curing concrete etc.",2,Days,2000,"4,000"
5,Allow for setting out,,,,500
6,Allow for rubber water stop,,,,"1,500"
7,Allow for backfill after construction,1.5,Days,2000,"3,000"
,Total,,,,"621,500"
Estimate for canals reservation protection by concrete lining For 125mm thick 0.5m wide and 0.4m high and 100m long canal -double banking,,,,,
1,Demolition of dilapidated canal -labour,2,nos,2000,"4,000"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",18.13,cum,37000,"670,625"
3,"Shuttering in 12 mm(1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",185,sqm,2800,"388,500"
4,"Labour for site preparation clearing, curing concrete etc.",2,Days,2000,"4,000"
5,Allow for setting out,,,,500
6,Allow for rubber water stop,,,,"2,400"
7,Allow for backfill after construction,1.5,Days,2000,"3,000"
8,adjustment,,,,-25
,Total,,,,"1,073,000"
"Estimate for RCC retaining wall For 150mm thick 0.8m base width and 1,5m high and 10m long",,,,,
1,Foundation excavation ,1,nos,2000,"2,000"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",3.45,cum,37000,"127,650"
3,"Shuttering in 12 mm(1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",60,sqm,2800,"168,000"
4,"Labour for site preparation clearing, curing concrete etc.",4,Days,2000,"8,000"
5,Allow for setting out,,,,337
6,10mm Dia r/f @150 Zigzag vertically &300mm horizontally. B/F,248.1,kg,474,"117,599.40"
7,Allow for backfill after construction,2,Days,2000,"4,000"
8,adjustment,,,,
,Total,,,,"427,586"
