Table 6 19: Cost estimate of minor irrigation-related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
1040,Thenne Ela,"•Soil erosion of the lands (L- 600m) and seepages towards the field side. Recommend earth filling of a strip of 1.5m to 2m wide and 300m in length, an average depth of 0.5m, and side slope protection with vetiver grass with areca nut fencing for both embankments of about 400 Sq.m.",7.155581,80.70878,"362,650"
1046,Reservation of Kandethenna lake,"•Lack of the conservation practices of the reservation. Recommend dense planting of mixed vegetation comprising Areca nut trees /Agave/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Vetiver/riparian plants/bamboo/fruits etc. randomly mixed seedlings at 500 mm grid interval.2. Apply to mulch, organic manure, and NPK fertilizer. The covered area is 7200 sqm, with 10m wide strips around the tank perimeter.",7.16884,80.713257,"1,922,400"
1046,Kandegama canal,"Seepages towards the field side from a concrete-lined part of the canal. (L- 200m) and a part of the canal is not concrete-lined. (L- 400m). 5 Acre cultivation. Recommended earth filling of strips of 1.5m to 2m wide and 400m in length, an average Depth of 0.5m, and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc, with areca nut fencing for about 500 Sq.m.",7.171673,80.71455,"398,500"
1046,Kandegama Meda Ela,"•Seepages towards the field side. (L- 600m) (6 Acre cultivation) Recommended earth filling of strip of 1.5m to 2m wide and 400m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 400 Sq.m.",7.170085,80.715583,"412,000"
1041,"Karagaskada North lake, Greatweliya Waththa","•Silting of the lake. Recommend dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Vetiver/riparian plants/bamboo/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 700 sqm as a 6m wide strip around the perimeter.",7.17844,80.697489,
1041,Karagaskada main canal,"•Bank erosion on both sides. Recommend dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Vetiver/riparian plants/bamboo/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 sqm as a 6m wide strip around the perimeter.",7.174713,80.699752,"160,200"
,,,7.171025,80.700759,
1041,Karagaskada Piyasenpura canal,"•Bank erosion on both sides. Although cultivation is less than 5 acres, considering erosion it is recommended ",7.170414,80.697614,"280,200"
,,"1. To dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee / Godapara / Kaduru /Aththikka / Wal del / Vetiver/ riparian plants/ bamboo randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 sqm as a 6m wide strip around the perimeter. 2. Construct two SABO dams of 2mx1mx1m size.",7.168429,80.701334,
1037,Miniranwala canal,"Seepages towards the field side. (L- 250m)(15 Acre). Recommend protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high and 200m long canal -U shape with a 6m long cut section as a canal spill.",7.175403,80.705868,"1,328,500"
1045,No. 8 Ela,"•Seepages towards the field side. (L- 800m) (20 Acre). Recommend protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high, and 300m long canal -U shape and earth filling of a strip of 1.5m to 2m wide and 400m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 600 Sq.m.",7.142347,80.719453,"2,133,750"
1044,Weraludanda canal," Erosion of the canal (16 Acres). Recommend earth filling of strips of 1.5m to 2m wide and 500m in length, an average depth of 0.5m, and side slope protection with vetiver grass or edible plants like Thampala, Mukunuwenna, Gotukola, etc., with areca nut fencing for about 900 Sq.m.",7.155624,80.723404,"447,750"
1044,Dehiaththa canal,Seepages towards the field side. (L- 1000m)(35 Acre). recommend growing Areca nut saplings @1m along the edge of the earthen embankment with a Vetiver grass line of 600m in length and earth filling of 300m in length.,7.157423,80.7247,"268,650"
1044,Thiyaragamna canal,Seepages towards the field side. (L- 700m)(12 Acre). Recommend growing Areca nut saplings @1m along the edge of earthen embankment with Vetiver grass line for 700m length and earth filling for 400m length.,7.154676,80.721747,"358,200"
1044,Palle Thiyaragamna canal,•Seepages towards the field side.. Recommend to grow Areca nut saplings @1m along the edge of earthen embankment with Vetiver grass line for 200m length and earth filling for 200m length.,7.154712,80.721733,"179,100"
1044,Pitiya Ela,"•Seepages towards the field side. (L- 1000m)(20 Acre). Recommend 1.to grow Areca nut saplings @1m along the edge of an earthen embankment with Vetiver grass line for 700m length and earth filling for 400m length. 2. Protection by concrete lining For 100mm thick, 0.3m wide 0.3m high, and 100m long canal -U shape with a 6m long cut section as a canal spill",7.153611,80.721863,"1,022,450"
1044,Embulampe anicut,Absence of timber planks for anicut gate. Recommend to provide anicut planks,7.149464,80.720256,"12,500"
1044,Embulampe canal,"Overflow and seepages towards the field side. Recommended earth filling of strip of 1.5m to 2m wide and 200m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 300 Sq.m.",7.149782,80.720243,"179,100"
1044,Meda Ela,"•Seepages towards the both sides. (L- 600m)(12 Acre) Recommended earth filling of strip of 1.5m to 2m wide and 400m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut fencing for about 600 Sq.m.",7.149489,80.720683,"358,200"
1044,Muththoliya Ela,"•Seepages towards the both sides. (L- 800m)(15 Acre) Recommended earth filling of a strip of 1.5m to 2m wide and 400m in length, an average Depth of 0.5m, and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola, etc, with areca nut fencing for about 600 Sq.m.",7.148974,80.721254,"358,200"
1044,Kawatayamana main canal,"Soil erosion in the canal at Loolkandura Waththa is a concern. This canal is the main one that distributes water to the irrigation canals of Gabadagama North and South GNDs. (300 acres). Recommend to construct RCC rectangular aqueduct (125mm thick, 0.5m wide and 0.4m high, and 12m long) structure on five nos of RCC piers on firm ground.",7.129925,80.712656,"761,125"
1039,Eramudugolla Ela,"A section of the canal subsides in the middle and drains into the 'Pitala' below. (L- 6m) (50 Acres). Recommend to construct RCC rectangular aqueduct (of 125mm thick, 0.6m wide and 0.4m high and 8m long) structure on four nos of RCC piers with raft foundation on firm ground.",7.156626,80.721299,"781,125"
1039,Eramudugolla Pitala 1,Soil erosion of lands on both sides. (L-2000) (70 Acres). Recommend 1. To construct cascaded RCC concrete drop structure of 150mm thick x600mm wide x 1500mm drop with stilling basin. 2. Firmly connected to the existing concrete lining and backfilling around structures with vetiver grass protection.,7.157457,80.723171,"130,000"
1039,Eramudugolla canal,"Seepages from the side wall of the canal towards the field side. (L- 2500m)(50 Acres).Recommend earth filling of strip of 1.5m to 2m wide and 800m in length and average Depth of 0.5m and side slope protection with vetiver grass or edible plants like Mukunuwenna, Thampala, Gotukola etc with areca nut/Vetiver fencing for about 1800 Sq.m.",7.157633,80.72333,"805,950"
1039,Sub field canal of Rathimangoda main canal,"•Silting of the canal. (L- 2000m)(20 Acres). Recommend 1. Earth filling of strip of 1.5m wide and 1200m in length and average Depth of 0.3m and side slope protection with vetiver grass and or edible plants like Mukunuwenna, Thampala, Gotukola etc 2. Desilting the canal ",7.160078,80.719095,"447,750"
1039,Rathimangoda main canal,"Landsliding about 22.5m towards field side and dilapidated the canal.(75 Acres). Recommend to construct RCC rectangular aqueduct (of 125mm thick, 0.4m wide and 0.3m high and 24m long) structure on 8 nos of RCC piers on firm ground.",7.160966,80.716848,"1,100,000"
