Table 6 9: Details of reservation  improvement for Karagaskada Wewa,,
Work description,Location,Amount (LKR)
1. Dense planting of mixed vegetation comprising Kumbuk/ Mee/ Godapara/ Madan /Aththikka/ Wal del/ Kekuna /Mango/ Guava/ randomly mixed seedlings at 500 mm grid intervals for 400 m2.   ,Around the tank periphery ,"316,000"
"2. Apply mulching, organic manure, and NPK fertilizer.",,
"3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 100 m2. ",,
4. Plant two lines of Areca nut trees beside the reserve and cultivate pepper inside 100 m2.,,
5. Excavate and remove silt about 250 Cu.m and dispose in reforestation areas. (20 machine hours - PC 30),,60000
6. Excavate the side slopes of the pond to form a mild slope of 1:4 along the periphery. (16 machine hours),,48000
7. Supply of small boulders/ Rubble collected locally (100 Cu.m),,"120,000"
8. Placing boulders/rubble on side slopes and making neat surfaces (32 machine hours),,96000
9. Supply and fix 110mm Dia x 6m long PVC pipe with downstream control Gate valve.,,45000
10. Machine transport,,25000
,,"720,000"
