Table No,Description,Location Availability,NameFile,Link
Table 6?1,Key activities proposed for soil and water conservation in MWS,1,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table%206-29.csv,https://docs.google.com/spreadsheets/d/1j_3yvrEsH5C0DnXzB-6eZzT0OWNMf-7Q/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?2,Details of Reported landslides in MWS,1,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table%206-29.csv,https://docs.google.com/spreadsheets/d/1ZjCZuy2AF0Zuh_UqVPhAG-MtK5bL15hM/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?3,Details of minor tanks available in MWS,1,Table 6-3,https://docs.google.com/spreadsheets/d/1UfUsoosYSDaMQ5Rs4pRU_SvB84Zqg7Lt/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?4,Salient details of tanks in MWS,1,Table 6?4,https://docs.google.com/spreadsheets/d/1wlQuYij6R6yGSTYgxvqlgzbLPFDZk8wT/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?5,Provisional cost estimate of Hanthana Wewa restoration,0,Table 6-5,https://docs.google.com/spreadsheets/d/1OI5c4MAml0uViQ2bJ75T5t9W_EKkoajK/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?6,Provisional cost estimate of TSHDA tank rehabilitation,0,Table 6-6,https://docs.google.com/spreadsheets/d/145UXVUp9SmN_FQvh9YxFodvyV4eyt60j/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?7,Implementation schedule of Hanthana Wewa restoration,0,Table 6?7,https://docs.google.com/spreadsheets/d/1xi7tA0LGz2ghP9nXK3bkLg5syb4PjLYE/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?8,Implementation schedule of TSHDA Tank,0,Table 6?8,https://docs.google.com/spreadsheets/d/1g2aY8o_5BYfhz9L46EJNGnIrkOrTDFkb/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?9,Numbers of proposals related to water source protection,0,Table 6?9,https://docs.google.com/spreadsheets/d/1wO35UzbakekiXisj8iiGorte89ZvpRqo/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?10,Domestic water supply proposals,0,Table 6?10,https://docs.google.com/spreadsheets/d/16QR0qERDrdQY89XFqMBKN3zZlE7uylVO/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?11,Irrigation related proposals,0,Table 6?11,https://docs.google.com/spreadsheets/d/17UFzCk0jRClOf2_qej43H7kI4OOwn0rC/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?12,Cost estimate of domestic water supply and water source protection-related proposals,1,Table 6?12,https://docs.google.com/spreadsheets/d/1CXsIiCxMQnmy_moBNdDwPWBqJkYUURvO/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?13,Cost estimate of minor irrigation related proposals with locations,1,Table 6?13,https://docs.google.com/spreadsheets/d/1lXWg0xKOTRQRwmKQREE-43q74UNrhrMy/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?14,Key activities proposed for water quality improvement in MWS-003,1,Table 6?14,https://docs.google.com/spreadsheets/d/1mnGim8ov7TfxqbuECosWJ2XHbpJ85loZ/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?15,Stream bank protection proposals,0,Table 6?15,https://docs.google.com/spreadsheets/d/1KC8ayNZlXpIXusYFJ8sWTekJxFkfIHpq/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?16,Brief description of legal provisions,0,Table 6?16,https://docs.google.com/spreadsheets/d/1f58tUUwdcN9nxQZjDadjEuRqfEuti7e9/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?17,Specimen estimates for the proposed protection types of stream reservation by replanting selected tree species,0,Table 6?17,https://docs.google.com/spreadsheets/d/1OBOkMb4VUP_OPVtzsuIhNCdVi-ftOv_h/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?18,Total Cost Estimate for Stream Reservation Proposals,1,Table 6-18,https://docs.google.com/spreadsheets/d/1f6RV4rXwC1CmJYYkqkxTYa4FVaS-TJDi/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?19,Packaging and transport of agricultural produce,0,Table 6?19,https://docs.google.com/spreadsheets/d/1HEBG79-ptroaPktNKYVJ1UI96z4FZOMW/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?20,Potential for tourism development and promotion in the area,0,Table 6?20,https://docs.google.com/spreadsheets/d/1GuEkMM6flKtNQ6KXggyk_BEkOxB3UiXf/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?21,Cost estimates and Time frame,0,Table 6-21,https://docs.google.com/spreadsheets/d/14qhduCH-1awtSfvUl4YKxlgW-jBCpHlA/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?22,Key stakeholders of Forest lands,0,Table 6-22,https://drive.google.com/file/d/15c3PihLWy1VWSifBcpL2dEwmywxXbVm5/view?usp=drive_link
Table 6?23,Forest lands in MWS-003,0,Table 6-23,https://drive.google.com/file/d/1aqTurL9As_Sg0oXfkJN0--woIirNmdlp/view?usp=drive_link
Table 6?24,HEPA within MWS-003,0,Table 6-24,https://drive.google.com/file/d/1RcFcuQIsWPVAcUzJrMBZN9M7xdepAF9T/view?usp=drive_link
Table 6?25,Vegetation cover vs population in MWS-003,0,Table 6-25,https://drive.google.com/file/d/1wJ-Wm2oy5GWSbBnEN8IEQNCM2h4gTVxa/view?usp=drive_link
Table 6?26,The details of cost to be incurred to establish boundary posts and fire belts,0,Table 6-26,https://drive.google.com/file/d/1iDdS5vYPn5u42CgMbRT5D8zdjHlnaoa-/view?usp=drive_link
Table 6?27,Costing of the proposed activities for 18-acre block of land,0,Table 6-27,https://drive.google.com/file/d/1UtiCAPIaSD5ea7XZHp-pJBkOnILkPh3G/view?usp=drive_link
Table 6?28,Key stakeholders of Tea lands,0,Table 6-28,https://drive.google.com/file/d/1E28fv3OsbqfGI09gv4CZ8SURU8-Lg9va/view?usp=drive_link
Table 6?29,Details of Tea Landholdings,0,Table 6-29,https://drive.google.com/file/d/1tVTxhPiskQE2XJIR2LNDbHzhaTR1Occg/view?usp=drive_link
Table 6?30,Details of land extents of Tea smallholdings (Source: TSHDA database),0,Table 6-30,https://drive.google.com/file/d/1iJup0Ufv1Ugyfo5JrLpFWsbX7qCe-sgB/view?usp=drive_link
Table 6?31,Proposed Five-year Plan-MWS-003,0,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table%206-31.csv,https://drive.google.com/file/d/1DPSP63U8vH6LZZtU2RmLXdF0AT2tJk4A/view?usp=drive_link
Table 6?32,Estimated cost to be incurred for planting one hectare of tea lands,0,Table 6-32,https://drive.google.com/file/d/1DPSP63U8vH6LZZtU2RmLXdF0AT2tJk4A/view?usp=drive_link
Table 6?33,Total estimated cost of production for the five-year period,0,Table 6-33,https://drive.google.com/file/d/1q-s4em9Df-qATF3Lxj_L-Rb4h5ez3oSB/view?usp=drive_link
Table 6?34,Potential value-added production,0,Table 6-34,https://drive.google.com/file/d/1DG3AXZo3ZGjldr5i6R53DdiPVu2ndZ4-/view?usp=drive_link
Table 6?35,Insurance service providers,0,Table 6-35,https://drive.google.com/file/d/1nZSyQlTbc8S09TxMJAVMz3KtdFHAPFsI/view?usp=drive_link
Table 6?36,Cost estimation of livelihood development activities,0,Table 6-36,https://drive.google.com/file/d/1Gry68OomSauIGfIOjap9-sHRW-UTkr44/view?usp=drive_link
Table 6?37,Timeframe for the implementation,0,Table 6-37,https://docs.google.com/spreadsheets/d/18r_e2FMjFZzgMl90_nfMfiyAkqOH8PqK/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true
Table 6?38,Contents of the agriculture productivity improvement training,0,Table 6?38,https://drive.google.com/file/d/1qpUsEoUhrOc5EQZtgnsLqCzZ93m_MWQK/view?usp=drive_link
Table 6?39,Recommended training programs for Livelihood development and marketing,0,Table 6-39,https://drive.google.com/file/d/138oo0belwAlblve81N7LPMtUBf37qJzw/view?usp=drive_link
