Table 6 36: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Ethulgama North - 1500, Ethulgama West - 500, Uduwela Pallegama South -4800, Ratemulla- 2500, Uduwela Udugama East -5000, Uduwela Udugama West -1000, Galthenna- 2500, Godampitiya- 5000","22,800",80,"1,824,000.00",50%,"912,000.00"
,Electric fence,"Ethulgama North- 10, Ethulgama West- 3, Uduwela Pallegama West- 5, Uduwela Pallegama South - 15, Ratemulla - 10, Uduwela Udugama East - 15, Uduwela Udugama West -3, Galthenna- 4, Godampitiya -15",80,"36,000.00","2,880,000.00",50%,"1,440,000.00"
Vegetable,Capsicum,"Ethulgama North, Uduwela Pallegama West, Wathuliyadda, Monarangala, Ratemulla, Ethulgama West, Uduwela Udugama East, Uduwela Udugama West, Uduwelawatta, Puliyadda, Galthenna","Perch 3650/ Seeds 1,825 g","40/perches unit - 20g. 3,000.00","365,000.00",100%,"365,000.00"
,Cabbage,"Uduwela Pallegama West, Ethulgama West, Uduwela Udugama East, Uduwela Udugama West, Puliyadda, Galthenna, Uduwela Pallegama South",Perch 442/ Seed 220 g,"40/perches unit - 20g. 6,000.00","66,000.00",100%,"66,000.00"
,Green chili,"Wathuliyadda, Monarangala, Nehiniwela, Ratemulla, Ethulgama West, Uduwela Udugama East, Uduwela Udugama West, Uduwelawatta, Puliyadda, Uduwela Pallegama South","Perch 1,420/ Seed 1,775 g","40/perches unit - 50g. 1,500.00","53,250.00",100%,"53,250.00"
,Beans,"Uduwela Pallegama West, Wathuliyadda, Monarangala, Ratemulla, Ethulgama West, Uduwela Udugama East, Uduwela Udugama West, Uduwelawatta, Puliyadda, Galthenna, Uduwela Pallegama South","Perch 1,307/ Seeds 49kg","40/perches unit - 1500g. 4,500.00","147,000.00",100%,"147,000.00"
,Tomato,"Uduwela Pallegama West, Wathuliyadda, Monarangala, Nehiniwela, Ratemulla, Uduwela Pallegama South",Perch 2000 / Seeds 500 g,"40/perches unit - 10g. 6,000.00","300,000.00",100%,"300,000.00"
Fruits,Banana,"Ethulgama North, Uduwela Pallegama West, Wathuliyadda, Monarangala, Nehiniwela, Ratemulla, Ethulgama West, Uduwela Udugama West, Uduwelawatta, Puliyadda","Plants 1,900",120,"228,000.00",100%,"228,000.00"
,Avocado,"Uduwela Udugama West, Puliyadda",Plants 550,200,"110,000.00",100%,"110,000.00"
,Mango,"Ethulgama North, Uduwela Pallegama West, Uduwela Udugama West, Uduwelawatta, Puliyadda",Plants 850,300,"255,000.00",100%,"255,000.00"
Export Crops,Coffee,Uduwela Udugama East,Plants 1000,30,"30,000.00",100%,"30,000.00"
,Pepper,"Ethulgama North, Uduwela Pallegama West, Wathuliyadda, Uduwela Pallegama East, Monarangala, Nehiniwela, Ratemulla, Uduwela Udugama West, Uduwelawatta, Puliyadda, Galthenna, Uduwela Pallegama South","Plants 12,970",40,"518,800.00",100%,"518,800.00"
,Vanila,"Ethulgama North, Uduwela Udugama West, Uduwelawatta, Galthenna","Plants 1,475",40,"59,000.00",100%,"59,000.00"
,Clove,"Ratemulla, Galthenna",Plants 800,130,"104,000.00",100%,"104,000.00"
,Ginger,"Ethulgama North, Nehiniwela, Ratemulla, Uduwela Udugama West, Uduwelawatta, Galthenna, Uduwela Pallegama South","Plants 7,390/ 60kg ginger seeds",18,"133,020.00",100%,"133,020.00"
Livestock,No of cow,"Uduwela Pallegama East - 1, Monarangala- 9, Nehiniwela- 1, Ratemulla-3, Uduwela Udugama East- 25, Uduwela Udugama West- 20",64,"250,000.00","16,000,000.00",50%,"8,000,000.00"
,No of  goat,"Ethulgama North- 6, Ratemulla- 20, Uduwela Udugama West- 50, Puliyadda- 10",86,"40,000.00","3,440,000.00",50%,"1,720,000.00"
,No of chicks,"Ethulgama North- 100, Uduwela Pallegama West- 100, Wathuliyadda- 60,Uduwela Pallegama East- 50, Monarangala- 600, Nehiniwela- 150, Ratemulla- 100, Uduwela Udugama East- 300, Uduwela Udugama West- 250, Uduwelawatta - 500, Puliyadda - 100, Galthenna - 130, Uduwela Pallegama South -150","2,590","1,500.00","3,885,000.00",50%,"1,942,500.00"
,Incubator,"Monarangala - 1, Ethulgama West- 1, Uduelawatta-2",4,"60,000.00","240,000.00",50%,"120,000.00"
,No of sheds - cow,"Uduwela Pallegama West- 5, Nehiniwela- 3, Ethulgama West- 10, Uduwela Udugama East-5, Uduwelawatta- 5",23,"300,000.00","6,900,000.00",50%,"3,450,000.00"
,No of sheds - goat,"Ethulgama north - 6, Uduwela Udagama West - 2",8,"150,000.00","1,200,000.00",50%,"600,000.00"
Protected Agriculture,Polytunnel,"Ethulgama North-1, Uduwela Udagama West- 5, uduwelawatta-2, Galthanna-1",9,"700,000.00","6,300,000.00",50%,"3,150,000.00"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),"Ethulgama North- 2, Nehiniwela- 2, Ethulgama West - 2, Puliyadda- 3",21,"8,000.00","168,000.00",75%,"126,000.00"
,Black Pepper making machines (Balancing kit),"Ratemulla- 1, Uduwela Udagama West - 2",3,"10,000.00","30,000.00",50%,"15,000.00"
,White pepper production machines,"Ethulgama North - 1, Ratemulla- 1, Uduwela Udagama West- 2, Galthenna- 1",5,"55,000.00","275,000.00",50%,"137,500.00"
,Curry powder grinding,"Ethulgama North- 1, Wathuliyadda- 1, Uduwela Pallegama East- 1, Ethulgama West- 1, Uduwelawatta- 1, Galthenna- 1",5,"120,000.00","600,000.00",50%,"300,000.00"
,Jackfruit drying machines,"Nehiniwela- 1, Ratemulla- 1",2,"850,000.00","1,700,000.00",50%,"850,000.00"
,Ginger slicing machine,Uduwela Udagama West- 1,1,"150,000.00","150,000.00",50%,"75,000.00"
,Areca nut slicing machines,Uduwelawatta- 1,1,"150,000.00","150,000.00",50%,"75,000.00"
,Alimana Chopper,"Puliyadda -1, Uduwela Udagama West- 1",2,"14,000.00","14,000.00",100%,"28,000.00"
Total Cost,,,,,,,"25,430,070"
