Table 6-27: Costing of the proposed activities for 18-acre block of land,,,,
,Proposed intervention,Unit rate,Extent/ Length/ No ,Total cost (Rs)
1,Community awareness session,5000,1,5000
2,Demarcation of the area with the community (Obtain GPS coordinates),5000,1,5000
3,Purchase of boundary posts (normal concrete posts),1500,525 nos,"787,500"
4,Establishing boundary posts to mark the area ,Details in Table 6-26,,"185,000"
5,Formation of vigilant committees in the peripheral villages (existing CBO can be used  for this),Lump Sum,1,5000
6,Opening up fire belts (3 m wide),Details in Table 6-26,1550 m (length),"150,000"
7,Maintenance of the fire belts (3 times /year for 5 years),Details in Table 6-26,03×05,"2,250,000"
8,Erect sign boards to show the area is protected as a water source,5000,2,10 000
9,Map the stream flow pathways downstream,Lump Sum,1,"10,000"
10,Form a committee linking the protectors above and the users downstream,Lump Sum,1,"10,000"
,Total,,,"3,407,500"
