Table 6 13: Cost estimate of minor irrigation related proposals with locations,,,,,,,
GND,Scheme/Name,Problem to be addressed/ Need,Coordinates,,Recommended Remedial Actions,,Estimated Cost
946,Ududampala anicut,Anicut restoration need,7.24601,80.648576,"1. Chip off weathered concrete surfaces     2. Drill, fix  and grout  16mm dia ""T "" shape dowels at 500mm intervals   3. Apply grade 25 concrete 125mm thick curtaining    4. Provide anicut planks   ",,"600,000"
946,Ududampala canal,"Reservation, repairs & Backfilling",7.24601,80.648576,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"174,000"
946,Uda-assadduma canal,"Reservation, repairs & Backfilling",7.246005,80.64504,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"174,000"
946,Rankiriyagolla anicut,Anicut gate refurbishment,7.24733,80.644803,Remove perished gates and provide new components,,"150,000"
946,Rankiriyagolla  canal (1),"Reservation, repairs & Backfilling",7.247344,80.644858,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
946,Rankiriyagolla  canal (2),"Reservation, repairs & Backfilling",7.248852,80.645576,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
946,Rankiriyagolla  canal (3),"Reservation, repairs & Backfilling",7.249503,80.646469,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
946,Palle-assadduma canal,"Reservation, repairs & Backfilling",7.246136,80.645318,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
947,Diddeniya Oya,"Reservation, tree  planting",7.24777,80.64348,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"109,700"
948,Kebalewa canal,Leaks in the canal.,7.1517381,80.390827,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kebalewa canal,Leaks in the canal.,7.1516862,80.399639,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
948,Kebalewa canal,Leaks in the canal.,7.15136,80.382102,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",,"87,000"
