Table 6 14: Key activities proposed for water quality improvement in MWS-003,,,,,,,,,,,,,,
No. ,GN Division No.,GN Division,Point sources of pollution ,N or X,E or Y,Non-point sources of pollution ,N or X,E or Y,Recommended water quality improvement measures,No. of Toilets needed,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,946,Uduwela Udagama East,N/A,N/A,N/A,Addition of household waste/garbage to Boholu Ambe Water Source,7.245988,80.645572,Awareness programmes,,,"50,000.00",Labour and other basic services by the Local community,0.5 Years
,,,,,,Potential to add of human waste to water sources,7.24598,80.64577,"Providing toilet facility
Introducing methods to convert household waste into organic fertilizers",3,,,"Funded by the project
Water quality analysis by NWSDB/WRB
Local/Central governments","0.25 Years
0.5 Years"
2,947,Uduwela Udagama West,N/A,N/A,N/A,Addition of human waste and garbage of line houses/estate houses to Elleena Kandura,"7.245714, 7.246942, 7.24807","80.634956, 80.634651, 80.634018",Awareness programmes,,,"50,000.00",Labour and other basic services by the Local community,0.5 Years
,,,,,,Addition of household waste/garbage to Hunugale Pihilla Kanadura,7.1448827,80.3810731,Providing toilet facility to line-houses/estate houses,10,,,Funded by the project,0.5 Years
,,,,,,Addition of household waste/garbage to Hunu Pihilla/Galaha Road,7.248413,80.634607,Preparation of place for collecting household wastes/garbage properly,,,"100,000.00",Local/Central governments ,0.25 Years
3,948,Uduwela Pallegama South,N/A,N/A,N/A,"Addition of agrochemicals to the water source at the land of Mr. Karunapala, Uduwela",7.1524435,80.052539,"Awareness programmes
Regular water quality analysis - 3 samples, every six months",,25000,"50000
450000","Funded by the project
Water quality analysis by NWSDB/WRB
","0.25 Years
3 Years"
4,949,Uduwela Pallegama East,N/A,N/A,N/A,Addition of waste and animal excreta to Inkandura Water Project ,7.24873,80.66143,"Covered with a mesh
Regular water quality analysis - 3 samples, every six months",,25000,"300000
450000","Labour and other basic services by the Local community
Funded by the project
Water quality analysis by NWSDB/WRB","0.25 Years
3 Years"
5,950,Uduwela Pallegama West,N/A,N/A,N/A,Addition of animal and human excreta to the water paths/Toilets of estates ,7.25127,80.65728,"Covered with mesh and appropriate other ways. 
Building up of toilets
Awareness programmes
Regular water quality analysis - 3 samples, every six months",5,25000,"300000
450000","Labour and other basic services by the Local community
Funded by the project
District Secretariats and Divisional Secretariats 
Water quality analysis by NWSDB/WRB","0.25 Years
0.5 Years
0.25 Years
3 Years"
6,951,Ratemulla,N/A,N/A,N/A,Addition of animal waste and garbages to Uragala Oya,7.232947,80.650231,Awareness programmes,,,"50,000.00",Labour and other basic services by the Local community,0.25 Years
,,,,,,Addition of toilet wastes into water of Uragala Oya,7.232134,80.650066,Introducing methods to remove household wastes/Producing organic fertilizers,,,,Funded by the project,0.5 Years
