Table 6 2: Details of Reported landslides in MWS-003,,,,,,,
No.,GND No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,946,Uduwela Udagama East,Not reported,,,,
2,947,Uduwela Udagama West,"Bank sloughing at 5th Post Estate, 60°",7.24791,80.63984,Needs NBRO concern,"Establishing a retaining wall
Adopting proper soil and water conservation methods"
3,948,Uduwela Pallegama South,Not reported,,,,
4,949,Uduwela Pallegama East,"Kekiriwela G.B.B. Siriya, Soil erosion and bank sloughing, 90° slope (Ethulgama, Wedambala)",7.24328,80.65591,Needs NBRO concern,Establishing a retaining wall
,,,"Kekiriwela G.B.B. Dhanapala, Soil erosion and bank sloughing, 90° slope (Ethulgama, Wedambala)",7.24993,80.66024,,Establishing a retaining wall
5,950,Uduwela Pallegama West,"Galpoththa Hena Road - Land subsidence, 45°, 50 families affected",7.24968,80.65643,Needs NBRO concern,Drainage facility should be improved for avoiding water flowing on the lands
6,951,Ratemulla,"Nuragashanga, W.G. Premadasa, Cracks in the house, 80°",7.24585,80.64854,NBRO Has visited,"Establishing a Retaining Wall, 25' (7.5 m) height, 25 m length"
,,,"Nuragashanga, W.G. Dayawansha, 64/C/1, Cracks in the house",7.246,80.64833,NBRO Has visited,"Establishing a Retaining Wall, 25' (7.5 m) height, 25 m length"
,,,"Ratemulla, Uduwela, O.W. Sumith Kumara, 69/4, 60°",7.24539,80.64867,NBRO Has visited,"Establishing a Retaining Wall, 25' (7.5 m) height, 25 m length"
,,,"Nuragashanga, Ratemulla, N.K. Jayasingha, 77/1, 70°",7.2424,80.64796,NBRO Has visited,"Establishing a Retaining Wall, 25' (7.5 m) height, 25 m length"
7,952,Monarangala,"Landslide area (Silverthenne Upper), 4 ac",7.2581,80.6556,Warned to remove from the lands,"Remove heavy weight structures, trees etc."
,,,"Landslide area (Mr. Siriwardene, Hunukotuwa), 200 m, bank sloughing",7.2582,80.6521,,"Facilitate drainage facility
Adopting proper soil and water conservation methods"
8,953,Wathuliyadda,"M.G. Weerathunga, No. 339, Wathuliyadda, Uduwela, 65°
Wathuliyadda, Imbulewatte, 85°",7.26289,80.64804,Needs NBRO concern,"Establishing a Retaining Wall
Establishing Lock and Spills"
9,954,Uduwela waththa,"Cracks in the house of Mr. Chaminda Wijekoon, Uduwelawatte",7.25228,80.645,Needs NBRO concern,Need to establish a Retaining Wall (20' x 20') just below the house
10,955,Galthenna,"1. From Galthenne  Hindu Temple to Junior School, 55°, 60 families affected",7.25602,80.64627,Needs NBRO concern,"Remove heavy weight structures, trees etc."
,,,"2. Wathuliyadda Junior School, 65°",7.25621,80.64578,,Facilitate drainage facility
,,,"3. Wathuliyadda Junior School, 60°, Bank sloughing",7.2561,80.64566,,Adopting proper soil and water conservation methods
11,962,Nehiniwela,Not reported,,,,
12,963,Godampitiya,Not reported,,,,
13,964,Puliyadda,"Gepolagedara, 30°",7.24387,80.65691,Warned to remove from 5 houses,There is no danger as it took time and seems settled
14,966,Ethulgama West ,"In between W. Ela and Bangalawatte Rd., Slope 60 - 75°, 6 ac, 8 families affected ",7.23181,80.65748,"Warned to remove from 4 houses, Red notice issued","Remove heavy weight structures, trees etc."
,,,,7.23278,80.65767,,"Facilitate drainage facility
Adopting proper soil and water conservation methods"
15,967,Ethulgama North,"Just below Gedara Kubura Ela and in the Gedara Kumbura, 60 perches (50 m below from GKE)",7.2439,80.6705,Needs NBRO concern,"Facilitate drainage facility
Adopting proper soil and water conservation methods"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
