Table 6 21: Cost estimates and Time frame,,,,,,,,,,,,
,Item,Responsibility,Supervision,Total Cost (LKR),GoSL LA Contr. (%),GoSL LA Contr. (LKR),Year,,,,,
,Marketing /Product/ Entrepreneurship Development,,,,(%),,24,25,,26,,27
1,Marketing and Development of Agricultural products,,,,,,,,,,,
1.1,Mapping of value chain and collection/processing centres,LUPO,AD (P),50000,100%,50000,,,,,,
1.2,Forming producer associations/Farmer groups,AD (P)/AI/LDI/ EDO,AD (P),30000,100%,30000,,,,,,
1.3,MoUs with Line Agencies,DS,DS,50000,75%,37500,,,,,,
1.4,Contract Buying/ Sales Agreements - Local/Export firms,DS/Private sector,DS,,,,,,,,,
1.5,Packaging and Branding,,,,,,,,,,,
1.5.1,Agreement with IDB for branding,IDB,AD (P),0,,0,,,,,,
1.5.2,Contracts with the private sector for branding,AD (P)/Firms,AD (P),0,,0,,,,,,
1.6,Monitoring & Evaluation,AD (P),AD (P),0,,0,,,,,,
2,Market Linkage Development,,,,,0,,,,,,
2.1,Briefing session on contracts/agreements with LA/PP,AD (P)/LA/PP,AD (P),0,,,,,,,,
2.2,Promote MWS products/services with existing websites,AD (P)/LA/PP,AD (P),0,,0,,,,,,
2.3,Creating E-market links for products/services,AD (P)/LA/PP,AD (P),0,,0,,,,,,
2.4,Develop Database and marketing information system,AD (P),AD (P),100000,100%,100000,,,,,,
2.5,Participation in regional trade and consumer fairs,AD (P)/LA,AD (P),300000,50%,150000,,,,,,
2.6,Link producers to financial institutions,AD (P)/LA,DS,15000,100%,15000,,,,,,
2.7,Register youth on existing job sites,HRDO,AD (P),10000,75%,7500,,,,,,
2.8,Monitoring & Evaluation,MWMC,AD (P),,,,,,,,,
3,Infrastructure Development,,,,,,,,,,,
3.1,Identify sites for economic hubs and sales centres,DS/AD (P)/ MDMWPC,DS,20000,100%,20000,,,,,,
3.2,"Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)",DS/AD (P),DS,1000000,100%,1000000,,,,,,
3.3,Identify farmer clusters,MWPC,AD (P),,,,,,,,,
3.4,Refurbish polytunnels for seed nurseries,AI/LDI/EDO,AD (P),1000000,50%,1000000,,,,,,
3.5,Monitoring & Evaluation,MWPC,AD (P),0,,,,,,,,
4,Marketing and Development of Non-agricultural products,,,,,,,,,,,
4.1,Mapping of value chain and collection/processing centers,LUPO,AD (P),50000,100%,50000,,,,,,
4.2,Forming producer association,AD (P)/EDO,AD (P),30000,50%,15000,,,,,,
4.3,MoUs with Line Agencies,DS,DS,50000,100%,50000,,,,,,
4.4,Contract Buying/ Sales Agreements - Local/Export firms,DS/Private sector,DS,0,,0,,,,,,
4.5,Packaging and Branding,,,,,,,,,,,
4.5.1,Agreement with IDB for branding,IDB,AD (P),0,,0,,,,,,
4.5.2,Contracts with the private sector for branding,DS/Firms,DS,0,,0,,,,,,
4.6,Monitoring & Evaluation,MWPC,AD (P),0,,0,,,,,,
,Total Cost,,,,,2525000,,,,,,
