Table 6 9: Numbers of proposals related to water source protection,,,,,,
GND No.,GND Name,Through Reforestation,Through Fencing & Reservation,Rejuvenating Water Spring,Storage tank repair/new,Debris traps and protection
962,Nehiniwela,,,,,
953,Wathuliyadda,,4,,2,
949,Uduwela Pallegama East,1,1,1,,
954,Uduwela Waththa,2,2,2,1,
955,Galthenna,,,1,1,
963,Godampitiya,,,,,
950,Uduwela Pallegama West,1,1,1,,
947,Uduwela Udagama West,,1,1,,
951,Ratemulla,1,2,1,,
966,Ethulgama West,3,1,1,3,
964,Puliyadda,,2,1,1,
967,Ethulgama North,,3,1,2,
948,Uduwela Pallegama South,1,,,,
946,Uduwela Udagama East,,2,6,,1
952,Monarangala,,,,3,3
