Table 6 31: Proposed Five-year Plan-MWS-003,,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10
No,GN Division,Extent (ha),,,,,,,,,
,,2024,,2025,,2026,,2027,,2028,
,,RP,DP,RP,DP,RP,DP,RP,DP,RP,DP
1,Ethulgama North,1,1,1,1,-,1,-,1,1,1
2,Ethulgama South,2,1,0.5,1,-,1,1,1,1,1
3,Ethulgama West,1,2,-,2,-,-,1,1,1,2
4,Galthenna,0,,-,-,-,1,1,1,-,1
5,Godampitiya,0,,-,-,-,-,-,-,-,-
6,Monarangala,0,,-,-,-,1,-,1,-,1
7,Nehiniwela,0,1,-,1,-,-,-,1,-,-
8,Puliyadda,2,1,-,2,1,1,-,1,1,2
9,Ratemulla,1,2,-,1,-,1,-,-,-,1
10,Uduwela Pallegama East,1,1,-,1,-,1,-,-,-,1
11,Uduwela Pallegama South,1,1,-,1,-,1,-,-,-,1
12,Uduwela Pallegama West,1,1,-,-,-,,-,-,-,-
13,Uduwela Udagama East,1,1,-,1,-,1,-,1,-,1
14,Uduwela Udagama West,2,2,-,2,-,-,-,-,-,1
15,Uduwela Waththa Colony,0,,-,-,-,-,-,-,-,-
16,Wathuliyadda,1,,-,-,-,-,-,-,1,-
,Total,14,14,1.5,13,1,9,3,8,4,12
,,,,,,,,,,,
New Value 1,New Value 2,New Value 3
dcw,dcw3,dcw4
