Table 6 10: Domestic water supply proposals,,,,,,
GND No.,GND Name,"Quality Improvement, filters, pipe replacement (CBO)",Springs protection and dug wells,Rainwater harvesting,Extensions of NWSDB delivery line,Tube wells
962,Nehiniwela,,,,,
953,Wathuliyadda,1,3,,,
949,Uduwela Pallegama East,1,1,,1,
954,Uduwela Waththa Colony,1,2,,1,1
955,Galthenna,,1,15,,1
963,Godompitiya,1,,,1,1
950,Uduwela Pallegama West,1,1,10,,6
947,Uduwela Udagama West,2,1,,,
951,Ratemulla,3,4,,,
966,Ethulgama West,,3,,1,
964,Puliyadda,,1,,,
967,Ethulgama North,,6,,3,1
948,Uduwela Pallegama South,,2,3,2,
946,Uduwela Udagama East,2,7,,1,
952,Monarangala,,5,,1,
