ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-003,Proposal,,Key activities proposed for soil and water conservation in MWS,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_1.csv,
2,MWS-003,Proposal,,Details of Reported landslides in MWS,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_2.csv,
3,MWS-003,Proposal,,Details of minor tanks available in MWS,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_3.csv,
4,MWS-003,Proposal,,Salient details of tanks in MWS,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_4.csv,
5,MWS-003,Proposal,,Provisional cost estimate of Hanthana Wewa restoration,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_5.csv,
6,MWS-003,Proposal,,Provisional cost estimate of TSHDA tank rehabilitation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_6.csv,
7,MWS-003,Proposal,,Implementation schedule of Hanthana Wewa restoration,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_7.csv,
8,MWS-003,Proposal,,Implementation schedule of TSHDA Tank,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_8.csv,
9,MWS-003,Proposal,,Numbers of proposals related to water source protection,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_9.csv,
10,MWS-003,Proposal,,Domestic water supply proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_10.csv,
11,MWS-003,Proposal,,Irrigation related proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_11.csv,
12,MWS-003,Proposal,,Cost estimate of domestic water supply and water source protection-related proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_12.csv,
13,MWS-003,Proposal,,Cost estimate of minor irrigation related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_13.csv,
14,MWS-003,Proposal,,Key activities proposed for water quality improvement in MWS-003,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_14.csv,
15,MWS-003,Proposal,,Stream bank protection proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_15.csv,
16,MWS-003,Proposal,,Brief description of legal provisions,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_16.csv,
17,MWS-003,Proposal,,Specimen estimates for the proposed protection types of stream reservation by replanting selected tree species,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_17.csv,
18,MWS-003,Proposal,,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_18.csv,
19,MWS-003,Proposal,,Packaging and transport of agricultural produce,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_19.csv,
20,MWS-003,Proposal,,Potential for tourism development and promotion in the area,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_20.csv,
21,MWS-003,Proposal,,Cost estimates and Time frame,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_21.csv,
22,MWS-003,Proposal,,Key stakeholders of Forest lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_22.csv,
23,MWS-003,Proposal,,Forest lands in MWS-003,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_23.csv,
24,MWS-003,Proposal,,HEPA within MWS-003,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_24.csv,
25,MWS-003,Proposal,,Vegetation cover vs population in MWS-003,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_25.csv,
26,MWS-003,Proposal,,The details of cost to be incurred to establish boundary posts and fire belts,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_26.csv,
27,MWS-003,Proposal,,Costing of the proposed activities for 18-acre block of land,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_27.csv,
28,MWS-003,Proposal,,Key stakeholders of Tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_28.csv,
29,MWS-003,Proposal,,Details of Tea Landholdings,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_29.csv,
30,MWS-003,Proposal,,Details of land extents of Tea smallholdings (Source: TSHDA database),,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_30.csv,
31,MWS-003,Proposal,,Proposed Five-year Plan-MWS-003,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_31.csv,
32,MWS-003,Proposal,,Estimated cost to be incurred for planting one hectare of tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_32.csv,
33,MWS-003,Proposal,,Total estimated cost of production for the five-year period,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_33.csv,
34,MWS-003,Proposal,,Potential value-added production,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_34.csv,
35,MWS-003,Proposal,,Insurance service providers,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_35.csv,
36,MWS-003,Proposal,,Cost estimation of livelihood development activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_36.csv,
37,MWS-003,Proposal,,Timeframe for the implementation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_37.csv,
38,MWS-003,Proposal,,Contents of the agriculture productivity improvement training,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_38.csv,
39,MWS-003,Proposal,,Recommended training programs for Livelihood development and marketing,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_39.csv,
40,MWS-003,Proposal,,Expenditure Estimate for training programs,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_40.csv,
