Table 6 1: Key activities proposed for soil and water conservation in MWS-004-2,,,,,,,,,,,,,,
No,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),,"Contri-bution (Local Community, LA, and the project)",Time frame for the implemen-tation
1,956,Koshinna,1. Rennovation of Gamameda Kandura as a Leader Drain/Main Drain,1,1,7.257591,80.684221,0.3 km x 1 m x 1m,Leader Drains with stone-layered,"3,000.00 m-3",900,,Labour and other basic services by the Local community,0.25 Years
,,,2. Rennovation of Kosssinna Waththa Kandura as a Leader Drain/Main Drain,2,1,7.25653,80.68304,1 km x 1 m x 1m,Leader Drains with stone-layered,"3,000.00 m-3","3,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Rennovation of 5th Post Kandura as a Leader Drain/Main Drain,4,1,7.259092,80.686741,0.4 km x 1 m x 1m,Leader Drains with stone-layered,"3,000.00 m-3","1,200.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Rennovation of Gamameda Kandura (II) as a Leader Drain/Main Drain,5,1,7.262232,80.684775,0.9 km x 1 m x 1m,Leader Drains with stone-layered,"3,000.00 m-3","2,700.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Rennovation of Peeneswaththa Kandura (I) as a Leader Drain/Main Drain,3,1,7.260307,80.684519,0.4 km x 1 m x 1m,Leader Drains with stone-layered,"3,000.00 m-3","1,200.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Rennovation of Peeneswaththa Kandura (II) as a Leader Drain/Main Drain,3,1,7.259772,80.684442,0.5 km x 1 m x 1m,Leader Drains with stone layered,"3,000.00 m-4","1,500.00",,Labour and other basic services by the Local community,0.25 Years
,,,7. Soil and mointure conservation measures in Kossinnawaththa (60 - 70°),3,1,7.258766,80.684434,3.5 ha,Live fencing/SALT,250.00 m-1,"875,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,1,2,7.257269,80.683001,6 ha,Live fencing/SALT,250.00 m-1,"1,500,000.00",,,0.25 Years
,,,,1,3,7.25654,80.68293,16 ha,Live fencing/SALT,250.00 m-1,"4,000,000.00",,,0.25 Years
,,,,4,4,7.257862,80.682804,2 ha,Live fencing/SALT,250.00 m-1,"500,000.00",,,0.25 Years
,,,,3,5,7.255655,80.68388,1.5 ha,Planting trees,,"150,000.00",,,0.25 Years
,,,8. Establishing a Retaining Wall in Kossinna,3,1,7.257906,80.684741,20 m x 2.5 m,Retaining Wall using stones,"2,000.00 m-2","100,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,1,2,7.258032,80.6833362,15 m x 6 m,Retaining Wall using stones,"2,000.00 m-2","180,000.00",,,0.25 Years
,,,9. Establishing a Retaining Wall in Gammeda Kumbura,5,1,7.262232,80.684775,50 m x 1.5 m,Retaining Wall using stones,"2,000.00 m-2","150,000.00","7,465,500.00",Labour and other basic services by the Local community,0.25 Years
2,968,Ethulgama East,1. Rennovation of Pinarawa Kandura,4,1,7.239967,80.6780236,1.1 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"110,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,2. Soil and moisture conservation - Ms. W.R.M. Anulawathi (70°),2,1,7.240419,80.673748,4 ha,"Live fencing/SALT
Planting tea, pepper, cofee etc. perennial crops",250.00 m-1,"1,000,000.00",,"Labour and other basic services by the Local community
Labour and other basic services by the Local community",0.25 Years
