Table 6 10: Irrigation related proposals,,,,,,
,GND No.,Planting Kumbuk / mixed plants,Preventing garbage/ debris accumulation,Planting bamboo /Arica/ Vetiver Grass,Anicut repair /concrete structures,Silt / Garbage retaining barrier
GND Name,,,,,,
Ankelipitiya,971, 3,,2 , 3,
Ethulgama South,965,,,,3,
Ethulgama East,968, 2,,,10 ,
Kossinna,956,,,,3 ,
Thalthuoya East,961, 2,,2 ,2 ,
Thalthuoya West,960,,,,3 ,
Pussatenna,957,, 1,, 2,
Batagalla,959,,,, 3,
Moragolla,973,,,,2 ,
Haputale Udagama,969,1,,,6,
Haputale Egodagama,972,3,,3,,
Haputale Pallegama,970,,,,9 ,
Hipppala,958,,,,3 ,
Pinnagolla,986,,,,,
