Table 6 14: Cost estimate of domestic water supply and water source protection-related proposals,,,,,
GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
971,Kivul Pihilla tube well,Unacceptable taste and is not suitable for drinking. Recommend providing RO filter for drinking water,7.239706,80.686126,950000
971,Galaha Galthenna spring,"Low Quantity and Quality of water. Recommend 1. To Provide 20 Cu.m or larger tank and reforesting around spring by mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 2. Apply mulching, organic manure and NPK fertilizer 3. Introduction of bamboo, vetiver grass and riparian plants. Covered area 200 Sq.m",7.194822,80.689602,350000
965,Udaraawa spring,"Acquisition of 0.5-acre reservation, reforestation and fencing",7.239775,80.669407,250000
965,Boowelikada trough,"1. Construction of a Shelter for bathing 2. Acquisition of 0.5-acre reservation .3. Dense planting of mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 4. Apply mulching, organic manure and NPK fertilizer 5. Introduction of bamboo, vetiver grass and riparian plants. Covered area 500 Sq.m",7.239948,80.662379,188500
965,Pambe ela,"No fence. The side wall and bottom of the tank are damaged > recommend 1. Re-construct the tank walls. 2. Acquisition of 0.5-acre reservation .3. Dense planting of mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 4. Apply mulching, organic manure and NPK fertilizer 5. Introduction of bamboo, vetiver grass and riparian plants. Covered area 200 sq.m",7.235348,80.669174,165000
968,Ambalammana well,Accumulation of silt and debris. Recommended to Cleaning the well and rebuilding of walls -3m depth,7.23364,80.66914,90000
968,Ambalammana 7 troughs -Sriyagama division,"No reservation, Contamination from household refuse, garbage mixing with runoff. Recommend 1. Public awareness on proper garbage disposal, 2. Acquisition of a quarter acre for reservation reforestation and fencing. 3. Restoration of supply pipes.",7.22691,80.66958,150000
968,Uda Kumbura well and spring,Stock tank leaks. Recommend Internal replastering.,7.24108,80.6739,30000
968,Thiriwanaketiya kabure tank,Stock tank leaks. Recommend Internal replastering.,7.24116,80.67468,40000
968,Diya bubula tank,"Contamination from agrochemicals Recommend 1. Dence planting of mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 2. Apply mulching, organic manure and NPK fertilizer 3. Introduction of bamboo, vetiver grass and riparian plants. Covered area 400 sq.m 4. Construction of a sand filter 5. Fencing around the reservation",7.24155,80.67686,140300
968,Pinnarawa Colony,"Scarcity of drinking water during dry spells.
 Recommended 1. Hydrogeological survey
2. Construction of a tube well with reservation boundaries",7.23959,80.67342,850000
956,Kossinna public well,No reservation. The pavement around the well is cracked and damaged. Recommend 1. Acquisition of 5 perch land and reforesting with potential natural vegetation as described above. 2. Demolish and reconstruct the pavement and cement rendering,7.258707,80.684407,226400
