Table 6 16: Key activities proposed for water quality improvement in MWS-004-2,,,,,,,,,,,,,,
No. ,GN Division No.,GN Division,Non-point sources of pollution ,N or X,E or Y,Point sources of pollution ,N or X,E or Y,Recommended water quality improvement measures,Number of toilets needed,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,956,Koshinna,No major issues reported,,,,,,,,,,,
2,968,Ethulgama East,"Addition of houshold waste, polythese etc. to Ambalanmana Pihili 7 Water Source",7.226905,80.669582,,,,"Awareness programmes
Cleaning with sharamadana programmesRegularizing waste collection",,,"50000

100000","Labour and other basic services by the Local community
Local/Central governments ","0.5 Years
0.25 Years
0.5 Years"
,,,Addition of agrochemicals and animal waste/excreta to Hinguranarawa Water Source,7.241314,80.673395,,,,"Awareness programmes
Establishment of water tank for storing water (10,000 L)
Regular water quality analysis - 3 samples, every six months
Establishing a protective fence",,"
25000","50000
500000
450000
100000",Labour and other basic services by the Local community,"0.5 Years
0.25 Years
3 Years
0.25 Years"
3,957,Pussathenna,No major issues reported,,,,,,,,,,,
4,959,Batagalla,No major issues reported,,,,,,,,,,,
5,961,Thalathuoya East,"Thalathuoya East - Household waste, Narankaduwa",7.244735,80.689777,,,,"Awareness programmes
Cleaning by Shramadana programmes",,,"50,000.00","Labour and other basic services by the Local community
",0.5 Years
6,965,Ethulgama South,No major issues reported,,,,,,,,,,,
7,960,Thalathuoya West,Addition of household waste and human excreata to Thalathuoya Anicut,7.251949,80.69035,,,,Awareness programmes,,,"50,000.00",Labour and other basic services by the Local community,0.5 Years
,,,,7.250978,80.690496,,,,Sharamadana Programmes,,,,,
,,,,7.253075,80.689999,,,,Removing toliet outlets that have been directed to the river directly,,,,,
8,969,Haputhale Udagama,No major issues reported,,,,,,,,,,,
9,970,Haputhale Pallegama,Accumulation of household waste improperly - Ihalawathagama,7.233013,80.686923,,,,Awareness programmes (compost making/biogas production etc.),,,"50,000.00",Local Government,0.5 Years
10,971,Ankelipitiya,Accumulation of household waste improperly - Ankelipitiya,7.237773,80.688442,,,,Awareness programmes (compost making/biogas production etc.),,,"50,000.00",Local Government,0.5 Years
11,973,Moragolla,Accumulation of household waste including plastic and polythene - Latiyagolla Kandura,7.227117,80.679001,,,,"Awareness programmes on proper disposal
Setting a net for colllecting waste",,,"50000
100000",Local Government,0.5 Years
,,,Accumulation of household waste including plastic and polythene,7.230485,80.680385,,,,Awareness programmes on proper disposal,,,,Local Government,0.5 Years
12,972,Haputhale Egodagama,Adding the waste of the cattle shed to the natural drain near Y.G. Sirisena,7.236585,80.673947,,,,Awareness programmes on proper disposal,,,"50,000.00",Local Government,0.5 Years
13,958,Hippala,Addition of agrochemicals to the well - Hippala,7.249771,80.685353,,,,"Awareness programmes on proper disposal
Reservation of forest (3 perches) around the wall",,,"50,000.00",Local Government,0.5 Years
14,986,Pinnagolla,No major issues reported,,,,,,,,,,,
,,,,,,,,,Grand Total,,,"1,700,000",,
