Table 6 17: Stream bank protection proposals,,,,,,
GND Name,GND No.,Quality improvement / Filtering / Vetiver grass,Reservation need / Contour canals,Planting Kumbuk /mixed plants,Garbage retaining barrier,concrete structures
Ankelipitiya,971,,,1,1,1
Ethulgama South,965,1,,1,,1
Ethulgama East,968,,,1,1,
Kossinna,956,1,,1,1,
Thalthuoya East,961,,,1,1,1
Thalthuoya West,960,,,2,,1
Pussatenna,957,2,,2,,1
Batagalla,959,1,,,1,
Moragolla,973,3,3,3,3,
Haputale Udagama,969,,,,,
Haputale Egodagama,972,1,1,1,1,
Haputale Pallegama,970,,,1,1,
Hipppala,958,1,,1,,
