Table 6 36: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Haputale Egoda-4500, Ethulgama east-3000, Haputale udagama-3750, ankelipitiya-150, Haputale pallegama-200",11600,80,"928,000.00",50%,"464,000.00"
,Electric fence,"Ethulgama south-20, Haputale egodagama-15, Haputale pallegama-5, pussathenna-5, ankelipitiya-5, Haputale udagama-11, Ethulgama east-3",64,"36,000.00","2,304,000.00",50%,"1,152,000.00"
Vegetable,Capsicum,"Hippala-.25,haputhale egoda-1,Ethulgama south-1(acre),ankelipitiya-1/2,haputhale pallegama-1",Perch 28.5,"40/ perches unit - 20g. 3,000.00",2137.5,100%,"2,137.50"
,Cabbage,"Haputale egodagama-2,Ethulgama south-1.5,haputhale pallegama-1/2,pussathenna-1/2,ankelipitiya-1/2,Haputhale udagama-2",Perch 7,"40/perches unit - 20g. 6,000.00",1050,100%,"1,050.00"
,Green chili,"Ethulgama south-1/2,haputhale egodagama-1,Hippala-1/4(acre),Ethulgama east-1,Haputhale udagama-1 1/2,ankelipitiya-1/2,pussathenna-1/2,Haputhale pallegama-1/2",Perch 5.75,"40/perches unit - 50g. 1,500.00",215.63,100%,215.63
,Beans,"Hippola-1/4,Haputhale egodagama-2,Ethulgama south-1,haputhale pallegama-1/2,pussathenna-1.5,ankelipitiya-1/2,haputhale udagama-5,ethulgama east-1",Perches 11.74,"40/perches unit - 1500g. 4,500.00","1,320.75",100%,"1,320.75"
,Tomato,"Ethulgama south-1,haputhale egodagama-1/2,ethulgama east-2,haputhale udagama-4,ankelipitoya-1,pussathenna-2,haputhale pallegama-2", Perch 12.5,"40/perches unit - 10g. 6,000.00","1,875.00",100%,"1,875.00"
Fruits,Banana,"Hippola-50,Haputhale egodagama-500,haputhale pallega-305,thalathuoya west-30,pussathenna-600,ankelipitiya-40","Plant 1,525",120,"183,000.00",100%,"183,000.00"
,Avocado,"Haputale egodagama-250,Ethulgama south-1000,thalathuoya west-10,","Plant 1,260",200,"252,000.00",100%,"252,000.00"
,Mango,"Hippola-50,Haputhale egodagama-80,Ethulgama south-500,haputhale pallegama-200,thalathuoya west-15,pussathenna-200,ankelipitiya-150","Plant 1,060",300,"318,000.00",100%,"318,000.00"
Export Crops,Coffee,Haputale egodagama-2000,"2,000",30,"60,000.00",100%,"60,000.00"
Livestock,No of cow,"Ethulgama south-5,Hippala-1,haputhale pallegama-2,pinnagolla-15,haputhale udagama-5,ethulgama east-2",30,"250,000.00","7,500,000.00",50%,"3,750,000.00"
,No of goat,"Haputale pallegama-2,thalathuoya west-2,pussathenna-10,pinnagolla-20,thalathuoya east-6",40,"40,000.00","1,600,000.00",50%,"800,000.00"
,No of chicks,"Hippala-20,Haputhale Egoda-50,Haputhale pallegama-40,thalathuoya west-15,pussathenna-40,ankelipitiya-50,pinnagolla-50,moragolla-20,Haputhale udagama-20,Ethulgama east-50",355,"1,500.00","532,500.00",50%,"266,250.00"
,No of sheds – cow,"Ethulgama south-5,Haputhale egodagama-3,haputhale pllegama-2,pussathenna-4,pinnagolla-13,ankelipitoya-9,haputhale udagama-5,ethulgama east-2",43,"300,000.00","12,900,000.00",50%,"6,450,000.00"
,No of sheds - goat,"Haputale pallegama-1,pussathenna-4,pinnagolla-30",35,"150,000.00","5,250,000.00",50%,"2,625,000.00"
Protected Agriculture,Polytunnel,"Ethulgama south-10,Haputhale egodagama-10,Haputhale pallegama-6,thalathuoya west-1,pussathenna-2,ankelipitiya-2,thalathuoya east-1,moragolla-2,haputhale udagama-5,Ethulgama east-1",40,"700,000.00","28,000,000.00",50%,"14,000,000.00"
Value Added products,Curry powder grinding,"Haputale egodagama-3, Hippala-3,Haputhale pallegama-1,pinnagolla-1,ankelipitiya-1,Ethulgama east-2,haputhale udagama-1,",12,"120,000.00","1,440,000.00",50%,"720,000.00"
,Ginger slicing machine,Ethulgama east-1,1,"150,000.00","150,000.00",50%,"75,000.00"
Total Cost,,,,,,,"31,121,848.88"
