Table 6 40: Expenditure Estimate for training programs,,,,,,,,,
No,Activity,Number of trainings,Duration in Days,,Total # of Participants,Total cost (RS),Con. From DSD(RS),Project Con. (RS),Proposed training Partner
1,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS-003,,,,,,,DOA/TBD
2,Water Management Training for the Development Officer of DAD ,Budget was allocated under MWS-003,,,,,,,DAD/ KITI
3,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-003,,,,,,,NRMC+ DEA
4,Good Practices in agrochemicals application for ARPAs and EDOs,Budget was allocated under MWS-003,,,,,,,DOA/ NRMC/ University 
5,Climate Change Adaptation Training for MWMC (including technical committee members),1,1,,34,"73,780","2,500","71,280",DOA/University 
6,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-003,,,,,,,District Engineer of District Secretariat 
7,Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT),Budget was allocated under MWS-003,,,,,,,CBSL Matale Regional office/CBSL HO
8,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-003,,,,,,,NWSDB / NRMC
Training for Communities,,,,,,,,,
9,"Exposure Visits to “A Park” for GPC, MDMWMC Members, and Farmer Leaders Selected by ARPA. One visit/GND",14,1,,700,"1,442,800",-,"1,442,800",Agriculture Park DoA
10,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,14,1,,700,"912,400",-,"912,400",NRMC/DOA
11,Good Practices in agrochemicals application and Integrated pest management for GPC Community Members and Identified Farmers -One training/GND,14,1,,700,"912,400",-,"912,400",DOA
12,Field day for soil and water conservation practice and method for GPC community leaders and farmers,14,2-Jan,,700,"484,850",-,"484,850","AI, ARPA and EDO/NRMC"
13,"Field Day for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",14,2-Jan,,700,"482,300",-,"482,300","AI, AR&PA and EDO"
14,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,14,1,,700,"911,400",-,"911,400",DOA/NRMC
15,Green Skill and Green Technology Concept for Youth and GPC members ,14,1,,560,"1,027,600","35,000","992,600",DOA
16,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members of Women Development Organizations (WDOs),14,1,,560,"539,700",-,"539,700", EDOs &SDO
17,Conduct Refresher Training on Household Money Management for GPC and Community Members ,14,2-Jan,,560,"334,600",-,"334,600",EDO and SDO
18,Climate Change Adaptation training for GPC and selected farmers,14,1,,560,"715,600",-,"715,600",AI and EDO
19,Conduct Field Day on Climatic Training Adaptation,14,2-Jan,,700,"482,300",-,"482,300",AI & EDO
20,Career Guidance & Career Fair Event ,1,1,,200,"100,000","15,000","85,000",Skills Development Officer & Human Resources Development Assistant of DSD
21,Gender and Social Inclusion Training ,2,1,,123,"147,910","5,000","142,910",TBD
22,Community training on forest conservation,Budget was allocated under the Forest plan,,,,,,,Forest Department 
23,Community Training - livelihood and Marketing,,,,,"1,030,000",,,
,Total Estimated Budget,158,,,"7,593","9,597,640","57,500","8,510,140",
