Table 6 8: Numbers of proposals related to water source protection,,,,,,
GND Name,GND No.,Through Re-forestation,Through Fencing & Reservation,Rejuvenating Water Spring,Storage tank / Well repair / new,Debris traps and protection
Ankelipitiya,971,3,2,2,,
Ethulgama South,965,4,2,,,1
Ethulgama East,968,1,1,,,1
Kossinna,956,,,,,
Thalthuoya East,961,,1,,1,
Thalthuoya West,960,,,,,
Pussatenna,957,,,,2,
Batagalla,959,,,,,
Moragolla,973,1,,1,,
Haputale Udagama,969,1,1,,,
Haputale Egodagama,972,3,1,4,,1
Haputale Pallegama,970,1,2,,2,
Hipppala,958,,1,,1,
Pinnagolla,986,,,,1,
