Table 6 9: Domestic water supply proposals,,,,,,
,GND No.,"Quality Improvement, Filters, System management (CBO)",Springs protection / Dug wells,Storage tank/ Rainwater Harvesting tank,Extensions of NWSDB Delivery line,Tube wells
GND Name,,,,,,
Ankelipitiya,971, 3, 2,,1 ,
Ethulgama South,965,1,1,,,
Ethulgama East,968, 1,,1,1 ,
Kossinna,956,,,,,
Thalthuoya East,961,,1 ,,,
Thalthuoya West,960,,,,,
Pussatenna,957,,,,1 ,
Batagalla,959,,,,,
Moragolla,973,3 ,3 ,,,
Haputale Udagama,969,1,1,,,
Haputale Egodagama,972,1,1,,,
Haputale Pallegama,970, 1,,,,
Hipppala,958, 1,,,,
Pinnagolla,986,,,,,
