Table 6 1: Key activities proposed for soil and water conservation in MWS-005,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No. ,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.)Total Cost (Rs.),,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,974,Shriyagama,1. Development of natural drain - Kandura to Ambanmana Wewa,5,1,7.224507,80.67348,350 m x 1 m x 1 m,Clearing and planting some trees along the banks (Aracanut),,"35,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Development of natural drain - Batagolla Kandura,1,1,7.226146,80.6702401,"3,300 m x 1 m x 1 m","Clearing and planting some trees along the banks (Aracanut)
Awareness programme on waste disposal",,"330,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,,1,2,7.22729,80.66847,500 m x 1 m x 1 m,Clearing and planting some trees along the banks (Aracanut),,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Development of natural drain - Kandura from Ambanmana New Village,5,1,7.217192,80.674145,"3,500 m x 1 m x 1 m",Clearing and planting some trees along the banks (Aracanut),,"350,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,4. Development of natural drain - Kandura near Kirimatiya School,3,1,7.215625,80.69033,"3,000 m x 1 m x 1 m",Clearing and planting some trees along the banks (Aracanut),,"300,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,5. Soil and water conservation practices - Ambalanmana Metal Query (30°),5,1,7.217798,80.670447,2 ac,Awareness programme to practice proper soil conservation,,,,,0.25 Years
,,,6. Soil and water conservation practices - Ambalanmana Waththa (60°),1,1,7.223747,80.669493,1.5 ha,Live fencing/SALT - 50 ha,250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,7. Soil and water conservation practices - Ambalanmana Waththa infront of Kandura (30 - 45°),4,1,7.225665,80.672367,120 ha,"Lock and spills - 70 ha
Live fencing/SALT - 50 ha","400.00 m-1
250.00 m-1","28000000
12500000",,"Labour and other basic services by the Local community
Labour and other basic services by the Local community","0.5 Years
0.5 Years"
,,,8. Soil and water conservation practices - Ambalanmana Susana Waththa (30°),1,1,7.224207,80.669459,1 ha,Lock and spills,400.00 m-1,"400,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,9. Soil and water conservation practices - Shriyagama Temple (50°),4,1,7.21829,80.677997,1 ha,Live fencing/SALT - 50 ha,250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
