Table 6 13: Numbers of proposals related to water source protection,,,,,,
GND Name,GND No.,Re-forestation,Fencing & Reser-vation,Rejuvenating Water Spring,Storage tank /Well repair / New,Debris traps and protection
Sriyagama,974,1,4,2,,2
Letiyagolla,975,2,2,,,
Nugaliyadda Pahala,982,1,,,1,
Nugaliyadda Ihala,983,1,,,,1
Butawatta North,984,,,,,
Butawatta South,985,,,,2,
Dulmura,987,,,,,
Godamunna East,989,2,,2,,
Godamunna West,990,,,,,
Kapuliyadda West,991,1,,1,,
Kapuliyadda East,992,,,,,
Narangastenna,993,,,,1,
Godalawela,994,,,,,
Welegama,995,,,,,
Medagama Udagama,996,3,,3,,
Medagama Pallegama,997,,,,,
Bolepa,999,,,,,
