"Table 6?14: Numbers of proposals related to community water supply, NWS&DB Extensions, Tube wells etc",,,,,,
GND Name,GND No.,"Quality Improvement, Filters, Pipe replacing (CBO)",Springs protection and dug wells,Rainwater Harvesting tank,Extensions of NWSDB Delivery line,Tube wells New / Repair
Sriyagama,974,,,,1,
Letiyagolla,975,,,2,1,2
Nugaliyadda Pahala,982,,,,1,1
Nugaliyadda Ihala,983,,,,1,
Butawatta North,984,,,,1,1
Butawatta South,985,,,,1,
Dulmura,987,,,,2,
Godamunna East,989,,,,1,4
Godamunna West,990,,,,,2
Kapuliyadda West,991,,,,,
Kapuliyadda East,992,,,,,
Narangastenna,993,,,,,5
Godalawela,994,,,,,
Welegama,995,,,,1,
Medagama Udagama,996,,1,,,
Medagama Pallegama,997,,,,,3
Bolepa,999,,,,,5
