Table 6 15: Domestic water supply proposals,,,,,,
GND Name,GND No.,Quality improvement/ Filtering / Vegetative cover,Water Spring origin protection /   Reservation need/Contour canals,Repairs or Construct / Well / Storage tank/Tube well,Supply and delivery system management,Replace Delivery Pipes
Sriyagama,974,,,,,
Letiyagolla,975,1,,,1,
Nugaliyadda Pahala,982,,,,,
Nugaliyadda Ihala,983,1,2,,,2
Butawatta North,984,,,,,
Butawatta South,985,,,,,
Dulmura,987,1,1,,1,
Godamunna East,989,1,,,,1
Godamunna West,990,1,,1,,1
Kapuliyadda West,991,,,,,
Kapuliyadda East,992,,,,,
Narangastenna,993,,,,,
Godalawela,994,,,,,
Welegama,995,,,,,
Medagama Udagama,996,,1,1,,
Medagama Pallegama,997,,,,,
Bolepa,999,,,,,
