Table 6 16: Irrigation related proposals,,,,,,
GND Name,GND No.,Canal lining / Concrete trough,Canal bund earthwork/ Tank desilting,Anicut/ weir repairs/ Sluice,Repairs to arrest canal leaks,Drainage Inlet / Upstream embankment protection
Sriyagama,974,,,,,
Letiyagolla,975,1,,,,
Nugaliyadda Pahala,982,6,,,,
Nugaliyadda Ihala,983,13,,4,,
Butawatta North,984,1,,,,
Butawatta South,985,1,4,3,,
Dulmura,987,,1,1,,
Godamunna East,989,,7,3,,
Godamunna West,990,,9,,,
Kapuliyadda West,991,,4,,,
Kapuliyadda East,992,,1,,,
Narangastenna,993,9,,2,,
Godalawela,994,7,,,,
Welegama,995,,8,3,,
Medagama Udagama,996,4,4,9,,
Medagama Pallegama,997,10,,,,
Bolepa,999,,2,3,,
