Table 6?23: Cost estimate of minor irrigation-related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
996,Polwatta anicut,Weak upstream embankment needing 20m long 600mm high retaining wall. Opening needs planks. ,7.231791,80.693305,"200,000"
982,Polwatta canal 1,The retaining wall is unstable and unsafe. Need to provide 20m long 3m high R/W ,7.231791,80.693305,"1,710,346"
982,Polwatta canal 2,Garbage inflow with runoff. Needs drainage and under-crossing with a garbage trap. ,7.232071,80.693337,"53,000"
982,Ranke canal 1,Leaks through the lining. Requires concrete curtain wall of 100m longx600mm high ,7.228617,80.693218,"390,000"
,,,7.227869,80.692811,
982,Ranke canal 2,Leaks through the lining. Requires earth filling and slope protection for a length of 150m ,7.227655,80.692543,"171,360"
982,Aswedduma gurubabila Oya,Canal diversion is difficult. Need an anicut structure of 15m long ,7.228193,"80.694187
(50m back)","258,600"
982,Siyabalaliyadda canal, D/S canal leaks. Insufficient canal reservation. It needs 150m long 500mm high concrete lining and 150m long reservation filling ,7.229189,80.695267,"1,103,610"
982,Thotupola canal, D/S canal leaks. Insufficient canal reservation. Needs 200m long 500mm high concrete lining and 200m long reservation filling ,7.229647,80.695992,"1,414,360"
982,Kotarange anicut, Sink hole formed U/S of anicut needing concrete apron. Needs anicut planks. ,7.230245,80.695844,"119,900"
982,Kotarange canal, D/S canal leaks. Insufficient canal reservation. Needs 250m long 300mm high concrete lining and 300m long reservation filling ,7.230495,80.695973,"1,917,665"
982,Wewethenna anicut, Partially collapsed anicut need repairs. ,7.225469,80.68436,"326,200"
983,Wewethenna anicut 2-moragolla canal," Silt ,gravel, rock pieces etc accumulated in the anicut and therefore inlet structure is choked. Need rehabilitation & clearing manually ",7.225385,80.68447,"150,000"
983,Wewethenna anicut 3, Temporary anicut not serviceable. Need 12m long anicut ,7.225687,80.687385,"280,320"
983,Canal near the Wijetunga house, Culvert collapsed and needed reconstruction with garbage trap ,7.243158,80.702957,"53,000"
984,Canal near Saranankra school, Culvert opening is insufficient. Need 900mm Dia new culvert ,7.239819,80.700337,"182,000"
984,Bathage welyaya anicut,Anicut collapsed. Need to rehabilitate with grade 25 concrete including the inlet canal ,7.23661,80.69464,"204,400"
985,Wellamaliyadda anicut,Leaks through 5m longx1.5m high retaining wall. Need concrete curtain ,7.23496,80.6978,"70,688"
985,Wellamaliyadda canal,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for 400m ",7.23583,80.69846,"1,585,720"
985,Polgolla upper canal,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for 50m ",7.23446,80.70386,"396,430"
985,Polgolla lower canal,"D/S leaks, Narrow reservation. Need reservation protection for800m ",7.235,80.70464,"685,440"
985,Bolagedhara Kandela,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for1 50m ",7.221948,80.70024,"1,124,895"
989,Dingiththa Kumbura ela,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for1 50m ",7.222572,80.699465,"1,124,895"
989,Warakawa watta track canal,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for200m ",7.223732,80.700173,"1,499,860"
989,Gammahala biththara pela ela,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for200m ",7.22422,80.700062,"1,499,860"
989, Iriyagama canal," D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/250m ",7.22865,80.702917,"1,542,700"
989,Thotupola Yaya Ela," D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/300m ",7.22949,80.704133,"1,585,540"
989,Elagahagedhara anicut , Anicut collapsed. Need to rehabilitate with grade 25 concrete including the inlet canal ,7.230247,80.704898,"97,125"
989,Elagahagedhara canal,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/250m ",7.230323,80.70493,"1,542,700"
,,,7.230384,80.705195,
989,Wakkubura yaya ela,"D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/300m ",7.230563,80.704066,"1,585,540"
990,Ambalam kuburuyaya ela," D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/400m ",7.23046,80.704021,"1,671,220"
990,Wakkubura ela, Sediment deposits in the canal are to be removed by farmers. ,7.230276,80.703069,"30,000"
990,Yalkubura ela, Sediment deposits in the canal are to be removed by farmers. ,7.231212,80.702025,"30,000"
990,Siyabala Liyadda, Land and road pavement erosion. Needs canal lining for 250m/500m ,7.230743,80.701646,"1,553,750"
990,Wahale ela, canal seepage needs 140m long concrete lining ,7.232457,80.701106,"929,950"
990,Linthota yaya ela, Sediment deposit in canal-to be removed by farmers. Only reservation filling for 400m allowed ,n/a,n/a,"342,720"
990,Kapuwa kubura ela, No conveyance canal. Need to investigate and construct. ,This amount shall be estimated after an investigation.,,
990,Meegasmulla ela, canal seepage D/S. Needs 50m long concrete lining ,7.23309,80.701026,"332,125"
990,Wagaliyadda ela, Seepage at D/S. Sediment deposit in canal-to be removed by farmers. Need canal lining for 50m. ,7.23151,80.69766,"20,000"
990,Mandamini ela, Sediment deposit in canal-to be removed by farmers. 50m length needs concrete lining. ,7.230485,80.700692,"332,125"
990,Aswedduma ela, canal seepage D/S. Needs plastering to 150m long concrete lining. ,7.226826,80.700567,"50,000"
990,Heenatiwela ela, Erosion of lands. Need 200m /900m concrete canal lining and vegetative cover protection for 600m length ,7.2284,80.699447,"1,469,500"
990,Goda ela , Seepage at D/S. Need canal lining for 30m. ,7.23719,80.70843,"186,450"
991,Meda ela, Seepage at D/S. Recommend 200m long areca+vegetation+Vetiver combination on reservation filling for 1.5m width. ,7.2367,80.70939,"156,000"
