Table 6 25: Stream bank protection proposals,,,,,,
GND Name,GND No.,Planting Kumbuk /mixed plants,Preventing garbage/ debris accumulation,Planting bamboo /Arica / Vetiver Grass,Culvert /concrete structures,Silt / Garbage retaining barrier
Sriyagama,974,,,,,
Letiyagolla,975,,,,,
Nugaliyadda Pahala,982,,,,,
Nugaliyadda Ihala,983,,,,,
Butawatta North,984,,,,1,
Butawatta South,985,,,1,,
Dulmura,987,,1,,,
Godamunna East,989,,,,,
Godamunna West,990,,1,1,,
Kapuliyadda West,991,1,,1,,
Kapuliyadda East,992,,,2,2,
Narangastenna,993,,,,,
Godalawela,994,,,,,
Welegama,995,,,,,
Medagama Udagama,996,1,,1,,
Medagama Pallegama,997,,,1,,
Bolepa,999,,1,,,1
