Table 6 45: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Godamunna west-2000,Godamunna east-30,Nugaliyadda Ihala-200,Narangasthenna-4200,Medagama pallegama-4800,Doolmure-500,Kapuliyadda East-30","11,760",80,"940,800",50%,"470,400"
,Electric fence,"Letiyagolla-4,Godamunna west-20,Doolmure-5,Medagama pallegama-15,Bootewatte south-5,Boolepa-10,",59,"36,000","2,124,000",50%,"1,062,000"
Vegetable,Capsicum,"Medagama udagama-5,Godamunna west-2,sriyagama-1,Godamunna east-1,Bolepa-2Nugaliyadda ihala-3,Bootewatte south-3,Narangasthenna -3,Medagama pallegama-15, Bootewatte north-15, Nugaliyadda pahala-3",Perch 53,"40/perches unit - 20g. 3,000 ","3,975",100%,"3,975"
,Cabbage,"Godamunaa west-4,Medagama udagama-3,Letiyagolla-1,Nugaliyadda pahala-3,Medagama pallegama-3,Narangasthenna-5,Bootewatte south-1,,kapuliyadda east-2,Bootewatte north-5,Nugaliyadda ihala-10,Bolepa-2,Godamunna east-2,Sriyagama-4",Perch 45,"40/perches unit - 20g. 6,000 ","6,750",100%,"6,750"
,Green chili,"Godamunna west-2,Medagama udagama-8,sriyagama-2,Godamunna east-2,Bolepa-1,Nugaliyadda ihala-3,Bootewatte north-5,Bootewatte south-1,Narangasthenna-5,Medagama pallegama-8,Nugaliyadda pahala-2,kapuliyadda negenahira-1",Perch 40,"40/perches unit - 50g. 1,500 ","1,500",100%,"1,500"
,Beans,"Letiyagolla-1 1/2,Godamunna west-5,Medagama udagama-5, kapuliyadda east-1,Nugaliyadda pahala-3,Medagama pallegama-2,narangasthenna-2,Bootewatte south-5,Bootewatte west-3,Nugaliyadda ihala-10,bolepa-1,Godamunna east-1,Sriyagama-4",Perch 43,"40/perches unit - 1500g. 4,500 ","4,837.50",100%,"4,837.50"
,Tomato,"Medagama udagama-8Godamunna east-7,bolepa-1,Nugaliyadda ihala-3,Bootewatte north-3,bootewatte south-1,Narangasthenna-3,Medagama pallegama-18,Nugaliyadda pahala-2,kapuliyadda east-7,Godamunna west-5,",Perch 58,"40/perches unit - 10g. 6,000 ","8,700",100%,"8,700"
Fruits,Banana,"Letiyagolla-150,medagama udagama-100,kapuliyadda east-100,medagama pallegama-250,bootewatte south-15,Bootewatte north-200,Bolepa-200,Godamunna east-100,Sriyagama-150","1,265",120,"151,800",100%,"151,800"
,Avocado,"Letiyagolla-150,Medagama udagama-100,medagama pallegama-200,narangasthenna-75,Botewatte south-30,bootewatte north-60",615,200,"123,000",100%,"123,000"
,Mango,"Medagama udagama-50,kapuliyadda east-100,medagama pallegama-100,bootewatte south-25,bootewatte north-100,Godamunna East-150",525,300,"157,500",100%,"157,500"
 Export Crops,Pepper,"Godamunna west-1200,Medagama udagama-7500,Letiyagolla-3000","11,700",40,"468,000",100%,"468,000"
,Clove,"Letiyagoll-1500,medagama udagama-15,","1,515",130,"196,950",100%,"196,950"
Livestock,No of cow,"Medagama udagama-5,Bootewatte north-5,narangasthenna-5,medagama pallegama-5,Nugaliyadda pahala-2,Doolmure-2,Sriyagama-15,",39,"250,000","9,750,000",50%,"4,875,000"
,No of goat,"Sriyagama-20,Doolmure-5,,Narangasthenna-1Botewatte north-15",41,"40,000","1,640,000",50%,"820,000"
,No of chicks,"Medagama udagama-100,Bootewatte north-100,medagama pallegama-100,narangasthenna-12,nugaliyadda pahala-2,Doolmurr-50,bolepa-10,godamunna east-60,nugaliyadda ihala-10",442,"1,500","663,000",50%,"331,500"
,Incubator,"Sriyagama-1,bolepa-1,doolmure-2nugaliyadda pahala-1,narangasthenna-2,medagama pallegama-1,botewatte south-2,bootewatte north-2",11,"60,000","660,000",50%,"330,000"
,No of sheds - cow,"Letiyagolla-5,Medagama udagama-5,nugaliyadda ihala-2,sriyagama-5,godamunna east-1,bolepa-1,Doolmure-3,Nugaliyadda pahala-2,Medagama pallegama-5 bootewatte north-5",34,"300,000","10,200,000",50%,"5,100,000"
,No of sheds - goat,"Letiyagolla-4,bootewatte north-15,narangasthenna-1,Doolmure-2,Sriyagama-15",37,"150,000","5,550,000",50%,"2,775,000"
Protected Agriculture,Polytonal,"Godamunna west-4,Letiyagolla-4,bootewatte south-1,medagama pallegama-5,narangasthenna-2,nugaliyadda pahala-2,bolepa-2,sriyama-5,nugaliyadda ihala-5",24,"700,000","16,800,000",50%,"8,400,000"
 Value added products,Black Pepper making machines (Balancing kit),Medagama udagama-5,5,"10,000","50,000",50%,"25,000"
,White pepper production machines,Medagama udagama -5,5,"55,000","275,000",50%,"137,500"
,Curry powder grinding,"Letiyagolla-1,Godamunna west-1,nugaliyadda-1,bolepa-1,godamunna east-1,Doolmure-1,bootewatte north-1",7,"120,000","840,000",50%,"420,000"
,Ginger slicing machine,Nugaliyadda ihala-1,1,"150,000","150,000",50%,"75,000"
Total Cost,,,,,,LKR,"25,944,413"
