Table 6 48: Recommended training programs for Livelihood development and marketing,,,,,
Training - Livelihood and Marketing,Target group,No of programs,Unit cost,Total Cost (Rs),Agency
Paddy and field crop productivity improvement methods,Farmers,3,25000,"75,000",DAD/DOA
Livestock productivity improvement methods,Farmers,2,30000,"60,000",DAPH
Export agriculture productivity improvement,Farmers,1,40000,"40,000",DEA
Value addition and product development,Farmers/Producers,1,75000,"75,000",ITI/IDB/DEA
Post-harvest technology,Farmers/Collectors,1,50000,"50,000",NIPHM
Quality assurance and standardization,Farmers/Producers,3,40000,"120,000",DOA/DEA
Agri-technology and Equipment use,Producers/ Collectors,2,50000,"100,000",DOA/DEA/DAPH/ Suppliers
Environmentally friendly farming,Farmers,2,50000,"100,000",DAD/DOA
Digital marketing and promotion,Farmers,1,100000,"100,000",NEDA/SLTDA/SLTPB
Tour guide and hospitality management training,Farmers,2,60000,"120,000",SLTPB
Training women on cottage-level industries,Women producers,3,40000,"120,000",MoI - 'Vidatha'
Financial Management and Business Planning,Farmers/Producers,2,40000,"80,000",DS Office
,,,,"1,040,000",
