Table 6 16: Stream bank protection proposals,,,,,,
GND Name,GND No.,Planting Kumbuk /mixed plants,Preventing garbage/ debris accumulation,Planting bamboo /Arica/ Vetiver Grass,Culvert /concrete structures,Silt/Garbage retaining barrier
Medadeniya ,1000,,,1,1,
Marassana ,1007,,,,,
Damunugolla ,1008,,,,,
Meeruppa ,1009,1,,1,,1
Elikewela ,1010,,,1,,
Galagoda ,1011,2,1,1,2,1
Kiriwanagoda ,1012,1,,,,
Kandewela ,1013,1,,1,,
Bawlana ,1014,1,,1,,
Oluwawatta ,1015,1,,1,,
Hewavissa East ,1016,1,,1,,
Hewavissa West ,1017,,,,,
Bopitiya ,1018,1,1,1,1,1
Ududeniya Madige ,1022,,,2,2,
Ududeniya1 ,1023,,,,,
