Table 6 21: Potential for tourism development and promotion in the area,
GN division,Attractions
Madadeniya,Appallagoda Ambalama
Marassana,"Thalawa Rajamaha Viharaya, Ancient Ambalama, Ancient Dhamma Hall, Thalawa Ancient well"
Elikewela,Monaragala Monastery
Galagoda,Galagoda Antient Manasion
Kiriwanagoda,Thalakada
Kandewela,Kandewela Ancient Ambalama
Oluwawatte,Pasgama Rajamaha Viharaya
Hewavissa East,Pasgama Sri Natha Dewalaya
Hewavissa West,Panupe Bodhi
Ududeniya,Dehalkada Ambalama
