Table 6 3: Numbers of proposals related to water source protection,,,,,,
GND Name,GND No.,Reforestation,Fencing & Reservation,Rejuvenating Water Spring,Storage tank /Well repair / New,Debris traps and protection
Medadeniya,1000,,,,,
Marassana,1007,,,,,
Damunugolla,1008,,,,,
Meeruppa,1009,,,,,
Elikewela,1010,2,2,,,
Galagoda,1011,2,2,,,
Kiriwanagoda,1012,,,,,
Kandewela,1013,,,1,,
Bawlana,1014,,2,,,
Oluwawatta,1015,,,,,
Hewavissa East,1016,,,,,
Hewavissa West,1017,,1,,,
Bopitiya,1018,,,,,
Ududeniya Madige,1022,,,,,
Ududeniya1,1023,,,,,
