Table 6 5: Domestic water supply proposals,,,,,,
GND Name,GND No.,Quality improvement/ Filtering /Vegetative cover,Water Spring origin protection /Reservation need/Contour canals,Repairs or Construct/Well / Storage tank/Tube well,Supply and delivery system management,Replace Delivery Pipes
Medadeniya ,1000,,,,,
Marassana ,1007,,,,,
Damunugolla,1008,2,2,,,
Meeruppa,1009,2,2,,,
Elikewela ,1010,,,,,
Galagoda ,1011,,,,,
Kiriwanagoda ,1012,,,1,,
Kandewela ,1013 ,,1,,,1
Bawlana ,1014 ,,,,,1
Oluwawatta ,1015 ,,,1,,
Hewavissa East ,1016 ,2,,4,,
Hewavissa West ,1017 ,,,1,,
Bopitiya ,1018 ,,,,,
Ududeniya Madige ,1022 ,,1,1,,
Ududeniya1 ,1023 ,,,,,
