Table 6 6: Irrigation related proposals,,,,,,
GND Name,GND No.,Canal lining / Concrete trough,Canal bund earthwork/Tank desilting or rehabilitation,Anicut/ weir repairs/ Sluice,Repairs to arrest canal leaks,Drainage Inlet / Upstream embankment protection
Medadeniya ,1000,,1,,,
Marassana ,1007,,2,1,,
Damunugolla ,1008,,,,,
Meeruppa ,1009,1,3,,,
Elikewela ,1010,2,,,,
Galagoda ,1011,10,,,,
Kiriwanagoda ,1012,,4,,,
Kandewela ,1013,9,,,,
Bawlana ,1014,5,1,2,,1
Oluwawatta ,1015,,5,2,,1
Hewavissa East ,1016,,3,2,,
Hewavissa West ,1017,,7,,,
Bopitiya ,1018,1,3,1,,2
Ududeniya Madige ,1022,,,,,
Ududeniya1 ,1023,,,,,
