Table 6 1: Key activities proposed for soil and water conservation in MWS-006-2,,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,,Unit Cost (Rs.) ,Total Cost (Rs.) Total Cost (Rs.),,"Contribution (Local Community, LA, and the project) ",Time frame for the implementation
1,1035,Maussawa,1. Development of natural drains - Alakola Madiththa Kandura,1,1,7.185702,80.718987,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,2. Development of natural drains - Muwanpani Ella Kandura,5,1,7.181115,80.727737,410 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"41,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,3. Soil conservation practices - Bopitiya Waththa Janawasama (40°) ,4,1,7.185743,80.718795,11 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",,250.00 m-1,"2,750,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Hulankada (65°) ,4,1,7.181127,80.72748,20 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",,250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Soil conservation practices - Hulankada (70°) ,1,1,7.182177,80.728802,1 ha,"Live fencing/SALT, Planting perennial crops",,250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Soil conservation practices - Neelawala (60°) ,4,1,7.182777,80.730698,5 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",,250.00 m-1,"1,250,000.00","9,351,000.00 ",Labour and other basic services by the Local community,0.25 Years
2,998,Bawlanawatta ,1. Development of natural drains - Kandura in Pine forest,5,1,7.192924,80.717945,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,2. Development of natural drains - Karagama Oya,5,1,7.194348,80.710961,400 m,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,3. Development of natural drains - Bawlanawatta,5,1,7.194641,80.717985,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,4. Development of natural drains - Attamalai Kandura,5,1,7.198366,80.715414,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"75,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,5. Development of natural drains - Bawlanawatta Kandura A,5,1,7.195627,80.719783,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,6. Development of natural drains - Kandura near the house of Mr. Ranjith,,1,,,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,7. Soil conservation practices - Karagama Oya Land (90°) ,5,1,7.194242,80.710944,50 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",,250.00 m-1,"12,500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,8. Soil conservation practices - Bawlanawatta (60°) ,3,1,7.195475,80.717931,0.75 ha,"Live fencing/SALT, Planting perennial crops",,250.00 m-1,"187,500.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,2. Soil conservation practices - Bawlanawatta (60°) ,2,1,7.195292,80.718429,4 ha,"Live fencing/SALT, Planting perennial crops",,250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,9. Soil conservation practices - Bawlanawatta (80°) ,5,1,7.198343,80.715644,80 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",,250.00 m-1,"20,000,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,10. Soil conservation practices - Bawlanawatta/Mr. Weerasinghe (20°) ,4,1,7.199869,80.717041,2 ha,Lock and spills,,400.00 m-1,"800,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,11. Soil conservation practices - Bawlanawatta/Mr. Karunasena (80°) ,4,1,7.201602,80.717936,3 ha,"Live fencing/SALT, Planting perennial crops",,250.00 m-1,"750,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,12. Soil conservation practices - Bawlanawatta (80°) ,1,1,7.202633,80.717192,1.5 ha,"Live fencing/SALT, Planting perennial crops",,250.00 m-1,"375,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
Sub Total,,,,,,,,,,,,"35,867,500.00",,,
Grand Total,,,,,,,,,,,,"45,218,500.00",,,
