Table 6 26: Cost estimates and Time frame of Marketing /Product/ Entrepreneurship Development,,,,,,,,,,,,
,Item,Responsibility,Super-vision,Total Cost (LKR),GOSL LA Contr. (%),GOSL LA Contr. (LKR),24,,25,,26,
1,Marketing and Development of Agricultural products,,,,,,,,,,,
1.1,Mapping of value chain and collection/processing centers,LUPO,AD (P),25000,100%,25000,,,,,,
1.2,Forming producer associations/Farmer groups,AD (P)/AI/LDI/ EDO,AD (P),15000,100%,15000,,,,,,
1.3,MoUs with Line Agencies,DS,DS,25000,75%,18750,,,,,,
1.4,Contract Buying/ Sales Agreements - Local/Export firms,DS/Private sector,DS,25000,75%,18750,,,,,,
1.5,Packaging and Branding,,,,,,,,,,,
1.5.1,Agreement with IDB for branding,IDB,AD (P),,,,,,,,,
1.5.2,Contracts with the private sector for branding,AD (P)/Firms,AD (P),25000,25%,6250,,,,,,
1.6,Monitoring & Evaluation,AD (P),AD (P),,,,,,,,,
2,Market Linkage Development,,,,,,,,,,,
2.1,Briefing session on contracts/agreements with LA/PP,AD (P)/LA/PP,AD (P),,,,,,,,,
2.2,Promote MWS products/services with existing websites,AD (P)/LA/PP,AD (P),,,,,,,,,
2.3,Creating E-market links for products/services,AD (P)/LA/PP,AD (P),,,,,,,,,
2.4,Develop Database and marketing information system,AD (P),AD (P),50000,100%,50000,,,,,,
2.5,Participation in regional trade and consumer fairs,AD (P)/LA,AD (P),150000,50%,75000,,,,,,
2.6,Link producers to financial institutions,AD (P)/LA,DS,7500,100%,7500,,,,,,
2.7,Register youth on existing job sites,HRDO,AD (P),5000,75%,3750,,,,,,
2.8,Monitoring & Evaluation,MWMC,AD (P),,,,,,,,,
3,Infrastructure Development,,,,,,,,,,,
3.1,Identify sites for economic hubs and sales centres,DS/AD (P)/ MDMWPC,DS,10000,100%,10000,,,,,,
3.2,"Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)",DS/AD (P),DS,500000,100%,500000,,,,,,
3.3,Identify farmer clusters,MWPC,AD (P),0,,0,,,,,,
3.4,Refurbish polytunnels for seed nurseries,AI/LDI/EDO,AD (P),500000,50%,250000,,,,,,
3.5,Monitoring & Evaluation,MWPC,AD (P),,,,,,,,,
4,Marketing and Development of Non-agricultural products,,,,,,,,,,,
4.1,Mapping of value chain and collection/processing centers,LUPO,AD (P),25000,100%,25000,,,,,,
4.2,Forming producer associations,AD (P)/EDO,AD (P),15000,50%,7500,,,,,,
4.3,MoUs with Line Agencies,DS,DS,25000,100%,25000,,,,,,
4.4,Contract Buying/ Sales Agreements - Local/Export firms,DS/Private sector,DS,,,,,,,,,
4.5,Packaging and Branding,,,,,,,,,,,
4.5.1,Agreement with IDB for branding,IDB,AD (P),,,,,,,,,
4.5.2,Contracts with the private sector for branding,DS/Firms,DS,25000,25%,6250,,,,,,
4.6,Monitoring & Evaluation,MWPC,AD (P),,,,,,,,,
5,Tourism Development,,,,,,,,,,,
5.1,MoUs with Line Agencies,AD (P)/SLTPB/PP,DS,,,,,,,,,
5.2,Promote MWS tourism on existing websites,AD (P)/Private sector,AD (P),,,,,,,,,
5.3,Agreements with private sector firms,MWPC,AD (P),50000,50%,25000,,,,,,
5.4,Monitoring and Evaluation,,,,,,,,,,,
,,,,1477500,,1068750,,,,,,
