Table 6 41: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from LA/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,Maussawa -1500,1500,80,"120,000",50%,"60,000"
,Electric fence,Maussawa-10,10,"36,000","360,000",50%,"180,000"
Vegetable,Capsicum,"Bawlanawatta janapadaya-4, maussawa-2 (acre) ",960,"40/perches unit - 20g. 3,000","72,000",100%,"72,000"
,Cabbage,"Bawlanawatta janapadaya-5, maussawa-6",Perch 1760,"40/perches unit - 20g. 6,000","264,000",100%,"264,000"
,Green chili,"Bawlanawatta janapadaya-6, maussawa-1.5 (acre) ",Perch 1200,"40/perches unit - 50g. 1,500","45,000",100%,"45,000"
,Beans,Bawlanawatta janapadaya-6 maussawa-10,Perches 2560,"40/perches unit - 1500g. 4,500","288,000",100%,"288,000"
,Tomato,"Bawlanawatta janapadaya-10, maussawa-4 (acre) ",Perch 2240,"40/perches unit - 10g. 6,000","336,000",100%,"336,000"
Fruits,Banana,,Plant 700,120,"84,000",100%,"84,000"
,Avocado,,Plant 150,200,"30,000",100%,"30,000"
,Mango,,Plant 175,300,"52,500",100%,"52,500"
Export Crops,Coffee,"Maussawa-2500, Bawlanawatta janapadaya-200",2750,30,"82,500",100%,"82,500"
,Pepper,"Maussawa-5000, Bawlanawatta janapadaya-300",5300,40,"212,000",100%,"212,000"
,Vanila,Maussawa,2000,40,"80,000",100%,"80,000"
,Clove,Bawlanawatta janapadaya-40,40,130,"5,200",100%,"5,200"
,Ginger,Bawlanawatta janapadaya-200,200,18,"3,600",100%,"3,600"
Livestock,No of cow,"Bawlanawatta janapadaya-10, maussawa-10",20,"250,000","5,000,000",50%,"2,500,000"
,No of goat,"Bawlanawatta Janapadaya-10, maussawa-4",14,"40,000","560,000",50%,"280,000"
,No of chicks,"Bawlanawatta janapadaya-200, maussawa-200",400,"1,500","600,000",50%,"300,000"
,Incubator,,,"60,000",,50%,0
,No of sheds - cow,"Bawlanawatta Janapadaya-12, maussawa-10",22,"300,000","6,600,000",50%,"3,300,000"
,No of sheds - goat,"Bawlanawatta janapadaya-5, maussawa-2",7,"150,000","1,050,000",50%,"525,000"
Protected Agriculture,Polytunnel,"Bawlanawatta janapadaye-6, maussawa6",12,"1,300,000","15,600,000",50%,"7,800,000"
Value added products,Bee keeping (Box 4000/= and 4000/= bees) ,,,"8,000",,75%,0
,Black Pepper making machines (Balancing kit) ,,,"10,000",,50%,0
,White pepper production machines,,,"55,000",,50%,0
,Curry powder grinding,Bawlanawatta janapadaya-1,1,"120,000","120,000",50%,"60,000"
,Jackfruit drying machines,Maussawa-1,1,"850,000","850,000",50%,"425,000"
,Ginger slicing machine,,,"150,000",,50%,0
,Areca nut-slicing machines,,,"150,000",,50%,0
,Alimana Chopper,,,"14,000",,100%,0
Total Cost,,,,,,,16984800
