Table 6 45: Expenditure Estimate for training programs,,,,,,,,
No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS) ,Con. From DSD (RS) ,Project Con. (RS) ,Proposed training Partner
1,"Project Awareness and Orientation Program (MWS-001,002, 006-2 and 008-2) ",Budget was allocated under MWS-001 (Deltota) ,,,,,,PMU
2,Training of Trainers (for selected officers at DSD level) ,Budget was allocated under MWS-001 (Deltota) ,,,,,,DOA/TBD
3,Water Management Training for the Development Officer of DAD ,Budget was allocated under MWS-003 Pathahewaheta,,,,,,
4,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-001 (Deltota) ,,,,,,NRMC + DEA
5,Good Practices of Agrochemical Application Training for ARPA and EDOs,Budget was allocated under MWS-001 (Deltota) ,,,,,,DOA/ NRMC/University 
6,Climate Change Adaptation Training for MWMC (including Technical committee members) ,1,1,19,"62,710","2,500","60,210",DOA/University 
7,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-001 (Deltota) ,,,,,,District Engineer of District Secretariat 
8,Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT) ,Budget was allocated under MWS-001 (Deltota) ,,,,,,CBSL Matale Regional office/CBSL HO
9,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-001 (Deltota) ,,,,,,NWS&DB/NRMC
10,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment,Budget was allocated under MWS-001 (Deltota) ,,,,,,DOA/ Natural Resources Management Center/University 
Training for Communities,,,,,,,,
11,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",2,1,100,"146,200",-,"146,200",Agriculture Park DoA
12,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,2,1,80,"160,200",-,"160,200",Natural Resources Management Center/DOA
13,Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers,3,1,120,"213,150",-,"213,150",DOA
14,Established Farmer Field School ,Budget was allocated under MWS-001 (Deltota) ,,,,,,AI and EDO
15,Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers,2,1,80,"63,600",-,"63,600","AI, ARPA and EDO/NRMC"
16,"Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",2,1,80,"63,600",-,"63,600","AI, ARPA and EDO"
17,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,2,1,100,"132,400",-,"132,400",DOA/NRMC
18,Green Skill and Green Technology Concept for Youth and GPC members ,2,1,60,"132,800","5,000","127,800",DOA
19,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organizations (WDOs) ,2,1,80,"76,600",-,"76,600", EDOs and SDO
20,Conduct Refresher Training on Household Money Management for GPC and Community Members ,2,1,80,"53,800",-,"53,800",EDO and SDO
21,Climate Change Adaptation training for GPC and selected farmers,2,1,80,"102,200",-,"102,200","AI, EDO"
22,Conduct Field Day on Climatic Training Adaptation,2,1,80,"59,600",-,"59,600",AI and EDO
23,Career Guidance and Career Fair Event (Deltota DSD) ,Budget was allocated under MWS-001 (Deltota) ,,,,,,Skills Development Officer and Human Resources Development Assistant of DSD
24,Gender and Social Inclusion Training ,1,1,28,"48,820","2,500","46,320",TBD
25,Training for school children on Environmental Conservation and Social Responsibility: Protecting the Environment- For Student (Grade 11 and Above at Deltota DSD) ,Budget was allocated under MWS-001 (Deltota) ,,,,,,
26,Community Training on Forest Conservation,Budgeted Under forest plan,,,,,,Forest Department
27,Community Training - livelihood and Marketing,,,,"775,000",,"775,000",
,Total Estimated budget ,25,,987,"2,090,680","10,000","2,080,680",
