Table 6 5: Salient details of Attamalai Wewa and Karupamalai Wewa,,
Tank Name ,Attamalai Wewa,Karuppamalai Wewa
GN,998-Bawlanawatta Janapadaya,998-Bawlanawatta Janapadaya
MWS,006-2,006-2 
DS,Deltota,Deltota
District,Kandy,Kandy
Ownership,DAD,DAD
Construction,-,-
"Location (Lat, Lon) ","7.19924, 80.71345","7.19924, 80.70918"
Agro-Ecological zone,WM2,WM2
Water Surface Area (approx.) (ha) ,0.3,0.21
Tank capacity (m3) ,4000,1400
Catchment Area (gross) (km2) ,,
Total command area (ha) ,2,4
Farm Organisation,,
F.O. registration number,,
Reservations are available or not,No,No
Reservations are marked or not,No,No
Bund,Concrete wall,D/S Earthen + Concrete Wall
Bund Length (m) ,50,30
Top width (m) ,3,1
Visible bund height (m) ,5,3
US & DS slopes (h/b) ,Vertical ,Vertical US/1:1.5DS
Availability of rip rap ,-,-
Spillway,,
Station (km+m) ,Over the bund,RB end
Type,CO,CO (Concrete wall) 
Length (m) ,50,15
Observed Afflux (m) ,0.05,0.2
Duration of spilling (days) ,15,60
Sluices,,
No of Sluices (nos) ,1,2
Station/s (km+m) ,0+046,0+055
Type/s,HW (attached to main bund) ,HW (attached to main bund) 
Barrel size/s (mm) ,150,150
Command area of the sluice (ha) ,,
Observations / Damages,Silted. Seepage, No sluice gate and assembly
Recommendation,1. Desilting,1. Provide sluice and assembly
,2. Place a 400mm thick or more clay blanket after desilting,"2. Provide 200 sqm reservation and plant dense randomly mixed potential natural vegetation, areca & vetiver plantation along the perimeter with few varieties of fruits and spices."
,"3. Provide 200 sqm reservation and plant dense randomly mixed potential natural vegetation, areca & vetiver plantation along the perimeter with few varieties of fruits and spices.",
