Table 6 1: Key activities proposed for soil and water conservation in MWS-007-1 ,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.)Total Cost (Rs.),,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,988,Sinharagama,1. Soil conservation practices - Shivagami (5°),2,1,7.251864 7.251845,80.711928 80.712050,16 ha,"Lock and spills - 6 ha
Live fencing/SALT - 10 ha","400.00 m-1
250.00 m-1","2400000
2500000",,Labour and other basic services by the Local community,0.25 Years
,,,2. Soil conservation practices - N.P.E. Senarathne (65°),4,1,7.253405,80.709052,2.25 ha,Live fencing/SALT,250.00 m-1,"562,500.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Soil conservation practices - Thilakarathne Fonseka (75°),4,1,7.253982,80.715225,1.5 ha,Live fencing/SALT,250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Pubudugama Royal (70°),2,1,7.246594,80.718137,6 ha,Live fencing/SALT,250.00 m-1,"1,500,000.00","7,337,500.00",Labour and other basic services by the Local community,0.25 Years
2,1001,Haragama,1. Soil and water conservation practices - Sugathanandarama Temples (85°),1,1,7.250282,80.731071,1 ha,Live fencing/SALT,250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Development of banks of the Mahaweli River (85°),4,1,7.250369,80.736511,4 km,"Planting trees along the banks (Arecanut, Nuga, Mee etc.)",,"400,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,,,7.250381,80.739882,,,,,,,
,,,,,,7.24954,80.742296,,,,,,,
,,,,,,7.245881,80.743697,,,,,,,
,,,3. Soil conservation practices - Anuragama Middle Road (85°),5,1,7.249301,80.74272,1.5 ha,Live fencing/SALT,250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,,,7.249021,80.743037,,"Introducing perennial crops like coffee, pepper",,,1025000,,
3,1002,Udamailapitiya North,1. Developemnt of natural dain - Kolabothenna Mala Kandura,1,1,7.229576,80.754336,3 km,Clearing and planting some trees along the banks (Aracanut),,"300,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Kandura near Pragathi Nursery (Plants),,1,,,20 m x 1 m x 1 m,Drain,"3,000.00 m-3","60,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Soil conservation practices - Udamailapitiya (45 - 75°),2,1,7.227303,80.755041,4 ha,Live fencing/SALT,250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,1,2,7.227468,80.749495,12 ha,Live fencing/SALT,250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,,4,3,7.230176,80.751087,6 ha,Live fencing/SALT,250.00 m-1,"1,500,000.00","5,860,000.00",Labour and other basic services by the Local community,0.25 Years
4,1004,Kekigannawala,1. Developemnt of natural dain - Main Kandura at the middle of the village,3,1,7.214107,80.75317,2 km,Clearing and planting some trees along the banks (Aracanut),,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Athuru Mala Kandura,5,1,7.213807,80.750202,550 m,Clearing and planting some trees along the banks (Aracanut),,"55,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,"3. Soil conservation practices - K. Sandanam, Kegar Estate (60°)",1,1,7.21341,80.75309,20 ha,Live fencing/SALT,250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,1 Year
,,,4. Soil conservation practices - Dodamgolla (60°),5,1,7.216621,80.748525,20 ha,Live fencing/SALT,250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,1 Year
,,,5. Establishing a retaining wall,4,1,7.213745,80.750169,50 m x 2.5 m,Retaining wall,"2,000.00 m-2","250,000.00","10,505,000.00",Labour and other basic services by the Local community,0.25 Years
5,1006,Patha Mailapitiya South,1. Development of natural drains - Kukunuge Ela/Ettamban Ela,4,1,7.23557,80.740009,2 km,Clearing and planting some trees along the banks (Aracanut),,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Development of natural drains - Hathbeya Ela,5,1,7.233052,80.743542,3 km,Clearing and planting some trees along the banks (Aracanut),,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Development of natural drains - Mailapitiya Central College Ela,5,1,7.230487,80.748899,400 m,"Clearing and planting some trees along the banks (Aracanut)
A retaining wall (65 m x 1.5 m)","2,000.00 m-2","40000
195000",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Aponso Waththa (40°),1,1,7.232039,80.754728,7.2 ha,Live fencing/SALT,250.00 m-1,"1,800,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Soil conservation practices - Aponso Waththa (25°),3,1,7.236719,80.756104,3.2 ha,Lock and spills ,400.00 m-1,"1,280,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Soil conservation practices - Mailapitiya 17th Post (70°),1,1,7.236286,80.74466,4.8 ha,Live fencing/SALT,250.00 m-1,"1,200,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,7. Soil conservation practices - Patha Mailapitiya South (75°),4,1,7.235614,80.743849,4.8 ha,Live fencing/SALT,250.00 m-1,"1,200,000.00","6,115,000.00",Labour and other basic services by the Local community,0.25 Years
Grand Total,,,,,,,,,,,"30,842,500.00",,,
