Table 6 1: Key activities proposed for soil and water conservation in MWS-008-1 ,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,1003,Udamailapitiya South,1. Development of natural drain - Alawaththaketiya Kandura,4,1,7.21294,80.756101,500 m,Clearing and planting some trees along the banks (Aracanut),,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,,,7.218444,80.764013,,,,,,,
,,,2. Development of natural drain - Mallapokona Kandura,4,1,7.213018,80.757158,500 m,Clearing and planting some trees along the banks (Aracanut),,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Development of natural drain - Keppetiyawa Kandura,4,1,7.22109,80.758112,150 m,Clearing and planting some trees along the banks (Aracanut),,"15,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - Alawaththaketiya (75°),3,1,7.213243,80.7575502,3 ha,Live fencing/SALT,250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,,1,2,7.214036,80.758544,2 ha,Live fencing/SALT,250.00 m-1,"500,000.00",,,
,,,5. Soil conservation practices - Millapokuna (40°),5,1,7.214648,80.759287,2 ha,Live fencing/SALT,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Soil conservation practices - Alawaththaketiya (75°),1,1,7.212947,80.755531,26 ha,Live fencing/SALT,250.00 m-1,"6,500,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,7. Soil conservation practices - Keppetiyawa (70°),4,1,7.22145,80.757904,14 ha,Live fencing/SALT,250.00 m-1,"3,500,000.00","11,865,000.00",Labour and other basic services by the Local community,0.25 Years
2,1005,Patha Mailapitiya North,1. Developemnt of natural dain - Akkara 5 Kandura,3,1,7.244801,80.753467,300 m,Clearing and planting some trees along the banks (Aracanut),,"30,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Samurdhi Mawatha Kandura,1,1,7.237578,80.757065,800 m,Clearing and planting some trees along the banks (Aracanut),,"80,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Developemnt of natural dain - Galdiya Kandura,5,1,7.237769,80.750322,800 m,Clearing and planting some trees along the banks (Aracanut),,"80,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices - No. 4 (40 - 65°),5,1,7.24509,80.75298,16 ha,Live fencing/SALT,250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,0.5 Years
,,,,1,2,7.248677,80.750718,4 ha,Live fencing/SALT,250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,5. Soil conservation practices - Galliinda (30°,3,1,7.237892,80.750297,9 ha,Lock and spills ,400.00 m-1,"3,600,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,6. Soil conservation practices - Other (35°),4,1,7.234364,80.746473,2.25 ha,Lock and spills ,400.00 m-1,"900,000.00","9,690,000.00",Labour and other basic services by the Local community,0.25 Years
3,1019,Poththagoda,1. Developemnt of natural dain - Mullahena Kandura,3,1,7.199382,80.750933,700 m,Clearing and planting some trees along the banks (Aracanut),,"70,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,2. Developemnt of natural dain - Thikaththawela Kandura,4,1,7.198716,80.751806,60 m,Clearing and planting some trees along the banks (Aracanut),,"6,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,3. Developemnt of natural dain - Pothgoda Kandura,3,1,7.194358,80.751681,200 m,Clearing and planting some trees along the banks (Aracanut),,"20,000.00",,Labour and other basic services by the Local community,0.25 Years
,,,4. Soil conservation practices (45°),1,1,7.19668,80.747564,5 ha,Live fencing/SALT,250.00 m-1,"1,250,000.00",,Labour and other basic services by the Local community,0.25 Years
