Table 6 33: Expenditure Estimate for training programs,,,,,,,,
No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS),Project Con. (RS),Proposed training Partner
1,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS 003,,,,,,DOA/TBD
2,Water Management Training for the Development Officer of DAD ,Budget was allocated under MWS 003,,,,,,DAD/ KITI
3,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS 003,,,,,,Natural Resources Management Center+ Export Agriculture Department
4,Good Practices in agrochemicals application for ARPAs and EDOs,Budget was allocated under MWS 003,,,,,,DOA/ Natural Resources Management Center/University 
5,Climate Change Adaptation Training for MWMC (including technical committee members),1,1,27,"71,490","2,500","68,990",DOA/University 
6,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS 003,,,,,,District Engineer of District Secretariat 
7,Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT),Budget was allocated under MWS 003,,,,,,CBSL Matale Regional office/CBSL HO
8,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS 003,,,,,,National water supply and drainage board/Natural Resources Management Center
Training for Communities,,,,,,,,
9,"Exposure Visits to “A Park” for GPC, MDMWMC Members, and Farmer Leaders Selected by ARPA. One visit/GND",7,1,350,"593,950",-,"593,950",Agriculture Park DoA
10,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,7,1,350,"479,450",-,"479,450",Natural Resources Management Center/DOA
11,Good Practices in agrochemicals application and Integrated pest management for GPC Community Members and Identified Farmers -One training/GND,7,1,350,"479,450",-,"479,450",DOA
12,Field day for soil and water conservation practice and method for GPC community leaders and farmers,7,2-Jan,350,"261,550",-,"261,550","AI, AR&PA and EDO/Natural Resources Management Center"
13,"Field Day for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",7,2-Jan,350,"241,150",-,"241,150","AI, AR&PA and EDO"
14,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,7,1,350,"455,700",-,"455,700",DOA/NRMC
15,Green Skill and Green Technology Concept for Youth and GPC members ,7,1,280,"513,800","17,500","496,300",DOA
16,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members of Women Development Organizations (WDOs),7,1,280,"269,850",-,"269,850", EDOs &SDO
17,Conduct Refresher Training on Household Money Management for GPC and Community Members ,7,2-Jan,280,"167,300",-,"167,300",EDO and SDO
18,Climate Change Adaptation training for GPC and selected farmers,7,1,350,"507,700",-,"507,700",AI and EDO
19,Conduct Field Day on Climatic Training Adaptation,7,2-Jan,350,"241,150",-,"241,150",AI & EDO
20,Career Guidance & Career Fair Event ,1,1,100,"75,000","15,000","60,000",Skills Development Officer & Human Resources Development Assistant of DSD
21,Gender and Social Inclusion Training ,1,1,60,"72,800","2,500","70,300",TBD
22,Community training on forest conservation,Budgeted Under forest plan,,,,,,Forest Department
23,Community Training - livelihood and Marketing,,,,"995,000",,,
,Total Estimated Budget ,80,,"3,827","5,425,340","37,500","4,392,840",
