Table 6 4: Salient details of Millapokuna tank in MWS-008-1 ,
Tank Name,Millapokuna Wewa
GN,Udamailapitiya South (GND 1003)
MWS,008-1
DS,Pathahewaheta
District,Kandy
Ownership,DAD
Construction,around 2000-2002
"Location (Lat, Lon)","7.213453 N, 80.696547 E"
Agro-Ecological zone,WM2
Water Surface Area (approx.) (ha),1200 m2
Tank capacity (m3),1900
Catchment Area (gross) (km2),
Total command area (ha),Over 40
Farm Organisation,Beneficiaries are in other GND 
F.O. registration number,
Reservations are available or not,No
Reservations are marked or not,No
Bund,Earthen
Bund Length (m),35
Top width (m),2
Visible bund height (m),3
US & DS slopes (h/b),01:01.5
Availability of rip rap ,No
Spillway,
Station (km+m),0+005
Type,Broad Crested Weir
Length (m),2.5
Observed Afflux (m),0.3
Duration of spilling (days),About 15
Sluices,
No of Sluices (nos),1
Station/s (km+m),0+015
Type/s,Head wall
Barrel size/s (mm),225
Command area of the sluice (ha),(Vegetable) 40
Observations / Damages,1. Bund and structures are in good condition
,2.Considerable ground erosion
,3. Heavily silted tank bed
Recommendation,1. Provide 15m wide x 200m long reservation 
,2. Provide a Vetiver grass edge along the road /track
,"3. Provide 300 sqm reservation and plant dense randomly mixed potential natural vegetation, 100 sqm areca & vetiver plantation along the perimeter with few varieties of fruits as an introduction,100 sqm bamboo and vetiver plantation"
,4.Excavate and remove sediments in the tank bed 1500m2area x 1.2m depth and erect few Sabo dams using local materials
