Table 6 9: Unit rates of different reservation protection methods,,,,,,
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs),
Estimate for stream reservation protection by earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m ,,,,,,
1,Cutting bench of 1.5m wide and 100m long -labour,1,Days,2000,"2,000",
2,"Earth excavation from borrow area forming channel bund including cutting, transporting, trimming, forming, watering & Compaction. (up to 1 km) For Channels DAD L 6",75,cum,778,"58,350",
3,"Turfing to new sloping soil surface DAD D 01 or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc.",60,sqm,400,"24,000",
4,Compost manure,40,kg,30,"1,200",
5,Maintenance for two months,2,,2000,"4,000",
,Total ,,,,"89,550",
"Estimate for canals reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high and 100m long canal -single banking",,,,,,
1,Demolition of dilapidated canal -labour,0.5,nos,2000,"1,000",
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",8,cum,37000,"296,000",
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2, reuse less 25%",70,sqm,2800,"147,000",
4,"Labour for site preparation, clearing, curing concrete etc.",0.5,Days,2000,"1,000",
5,Allow for setting out,,,,500,
6,Allow for rubber water stop,,,,750,
7,Allow for backfill after construction,1,Days,2000,"2,000",
,Total,,,,"448,250",
"Estimate for canals reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high and 100m long canal -double banking",,,,,,
1,Demolition of dilapidated canal -labour,0.5,nos,2000,"1,000",
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",11,cum,37000,"407,000",
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",120,sqm,2800,"252,000",
4,"Labour for site preparation, clearing, curing concrete etc.",0.5,Days,2000,"1,000",
5,Allow for setting out,,,,500,
6,Allow for rubber water stop,,,,750,
7,Allow for backfill after construction,1,Days,2000,"2,000",
,Total,,,,"664,250",
"Estimate for canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high and 100m long canal -single banking",,,,,,
1,Demolition of dilapidated canal -labour,1,nos,2000,"2,000",
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",11.25,cum,37000,"416,250",
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",92.5,sqm,2800,"194,250",
4,"Labour for site preparation, clearing, curing concrete etc.",2,Days,2000,"4,000",
5,Allow for setting out,,,,500,
6,Allow for rubber water stop,,,,"1,500",
7,Allow for backfill after construction,1.5,Days,2000,"3,000",
,Total,,,,"621,500",
"Estimate for canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high and 100m long canal -double banking",,,,,,
1,Demolition of dilapidated canal -labour,2,nos,2000,"4,000",
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",18.13,cum,37000,"670,625",
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",185,sqm,2800,"388,500",
4,"Labour for site preparation, clearing, curing concrete etc.",2,Days,2000,"4,000",
5,Allow for setting out,,,,500,
6,Allow for rubber water stop,,,,"2,400",
7,Allow for backfill after construction,1.5,Days,2000,"3,000",
8,adjustment,,,,-25,
,Total,,,"1,073,000",,
"Estimate for RCC retaining wall for 150mm thick, 0.8m base width and 1,5m high and 10m long",,,,,,
1,Foundation excavation ,1,nos,2000,"2,000",
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",3.45,cum,37000,"127,650",
3,"Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",60,sqm,2800,"168,000",
4,"Labour for site preparation, clearing, curing concrete etc.",4,Days,2000,"8,000",
5,Allow for setting out,,,,337,
6,10mm Dia r/f @150 Zigzag vertically &300mm horizontally. B/F,248,kg,474,"117,599",
7,Allow for backfill after construction,2,Days,2000,"4,000",
8,adjustment,,,,,
,Total,,,,"427,586",
