Table 6 1: Key activities proposed for soil and water conservation in MWS-008-2,,,,,,,,,,,,,,,
No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (LKR),Total Cost (LKR),Total Cost (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implement-tation,
1,1026,Nawaneliya,1. Development of natural drains - Kandura near the house of Mr. Dissanayake,5,1,7.165474,80.729414,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Yakkawana Kandura,1,1,7.170761,80.732059,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,3. Development of natural drains - Kandura near EDO Office,3,1,7.168365,80.729005,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
,,,4. Soil conservation practices - Nawaneliya (70°) ,1,1,7.169545,80.732106,30 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"7,500,000",,Labour and other basic services by the Local community,,1 Year
,,,5. Soil conservation practices - Nawaneliya (50°) ,3,1,7.166632,80.735145,0.1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"25,000",,Labour and other basic services by the Local community,,0.25 Years
,,,6. Soil conservation practices - Kiribogahapiththa (65°) ,4,1,7.168999,80.733662,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000",,Labour and other basic services by the Local community,,0.25 Years
,,,7. Soil conservation practices – Kirigahapoththa (50°) ,3,1,7.169654,80.732361,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Years
,,,8. Soil conservation practices - Nawaneliya Primary School (30 - 45°) ,4,1,7.165959,80.735474,0.25 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"62,500","8,762,500",Labour and other basic services by the Local community,,0.25 Years
2,1027,Kiriwanaketiya,1. Development of natural drains - Kandura near Malaboda Forest reserve,4,1,7.179496,80.736173,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
,,,2. Development of natural drains - Kele Tank Kandura I,"5, 4",1,7.175756,80.737184,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
