"Table 6 13: Unit rates of SABO dams, Storage tanks, Leader drains etc ",,,,,
Item,Description,Qty,Unit,Cost (LKR),Amount (LKR)
Construction of Boulder/ Rubble dams (SABO) across streams to trap sediment - Size 3m(L) x 2m(W) x 1m(H),,,,,
1,Excavation at ends and bottom to stack boulders-Labour,3,nos,2000,6000
2,Supplying of boulders and rubble locally or at the site,8,Cu.m,2500,20000
3,Placing and aligning boulders in stable positions-Labour,7,nos,2000,14000
4,Supplying of 3mx1mx1m Gabion box,2,nos,25000,50000
,Total,,,,"90,000"
Estimate for construction of Concrete water storage tank of 20 Cu.m - size internal t 3mx3mx2.5,,,,,
1,Ground preparation -labour,2,nos,2000,"4,000"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",5.063,Cu.m,38000,"192,375"
3,"Shuttering in 12 mm(1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",64.53,sqm,2182,"140,807"
4,Labour for curing concrete etc.,2,Days,2000,"4,000"
5,Internal and external plastering finish smooth,71.5,sqm,1205,"86,157"
6,10mm Reinforcement,210,kg,474,"99,540"
7,Top GI frame with Welded mesh and nylon net,1,nos,23000,"23,000"
8,adjustment,,,,120
,Total,,,,"550,000"
Estimate for construction of ferro cement storage tank of 35 Cu.m - size internal 3m Dia x 4m high,,,,,
1,Ground preparation -labour,2,nos,2000,4000
2,"1:2:4 (3/4"") Cement concrete, DAD E4 for bottom slab",1.256,Cu.m,38000,47728
3,Plastering 1:4 in three layers and internal smooth finish,150.72,sqm,1050,158256
4,10mm Reinforcement bars,25.12,Days,1100,27632
5,50x50x3mm GI welded mesh ,8,nos,9500,72327
6,6mm mild steel wire,20,kg,300,6000
7,Centre pivot bar for erection and rolling forms,,,,15000
8,Chicken mesh ,,,,10000
,Total,,,,"340,000"
Construction of Leader drain across streams - Size 100 m(L) x 1m (W) x 1m(H),,,,,
1,Excavation at stream ends and bottom to stack boulders-Labour,5,nos,2000,10000
2,Supplying of boulders/rubble locally or from the stream with community support,100,Cu.m,1500,150000
3,Placing and aligning boulders in stable positions-Labour,20,nos,2000,40000
,Total,,,,"200,000"
