Table 6 15: Estimate of water source protection-related activities ,,,,,
GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
1038,Kukulapana Sinhala Janapadaya (Bopitiya Waththa),The capacity of the tank is insufficient. (100 families) No protective cover and water quality is not tested. ,7.182892,80.709489,"717,000"
,,"Recommended 
1. To construct a ferro cement tank of 35 m3 capacity 
2. Demarcate an area of 10 perch as a reservation around. 
3. Make dense planting of mixed vegetation comprising/Agave/ Vetiver/ Canas/ Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2
5. Establishing a CBO and awareness and training programs for operation and maintenance.
6. 50% of pipe cost contribution to be obtained from the users.",,,
1038,Water source at Muslim Colony,"•Vegetable crops are cultivated above the water source. The capacity of the tank is insufficient (30+50 families). No protective cover and water quality is not tested. Recommended 
1. to construct a ferro cement tank of 35 m3 capacity 
2. Demarcate an area of 80 perch as a reservation around. 
3. Make riparian buffer strip and dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
4. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2
5.Establishing a CBO and awareness and training programs for operation and maintenance.
6. 50% of pipe cost contribution to be obtained from the users.
•Absence of a cover for the well.
•The water is not tested for quality.",7.18019,80.706479,"1,117,500"
1038,Spring which distributes water to Bopitiya school,"No protective cover for the spring and storage tank is dilapidated (School). 
Recommended 
1. To construct a cover as per the location. 
2. To construct a ferro cement tank of 35 m3 or more capacity.",7.185841,80.714264,"550,000"
1038,Kukulapana Muslim Janapadaya,"The capacity of the tank is insufficient (30+40 families). No protective cover and water quality is not tested. Recommended 
1. To construct a ferro cement tank of 35 m3 capacity 
2. Demarcate an area of 20 perch as a reservation around. 
3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
4. Apply mulching, organic manure and NPK fertilizer. Covered area 350 m2.
5.Establishing a CBO and awareness and training programs for operation and maintenance.
6. 50% of pipe cost contribution to be obtained from the users.",7.179004,80.637085,"745,400"
1027,Kiriwanaketiya Malaboda Springs and reservation,"Not sufficient during the dry season, walls are dilapidated, and reservations are not demarcated. Recommend 
1. to construct a ferro cement tank of 35 m3 capacity 
2. Demarcate an area of 20 perch as a reservation around. 
3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
4. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2",7.179376,80.736531,"538,600"
1027,Kele Tank,"The tank is dilapidated. Delivery pipe size is insufficient. The capacity of the tank is insufficient (40 families). Recommended 
1. to construct a ferro cement tank of 35 m3 capacity 
2. Demarcate an area of 10 perch as a reservation around. 
3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2.
5.Establishing a CBO and awareness and training programs for operation and maintenance.
6. 63 mm Dia PVC pipes main delivery line to be laid. 
7. 50% of pipe cost contribution to be obtained from the users.",7.177743,80.733514,"725,000"
1027,Water storage tank of Kolambissa Pradeshiya Sabha,"•The size of the pipe (D- 2"") is insufficient to distribute water.
•Water leakages from the tank.
•Soil erosion of the land.",7.181508,80.730741,
1027,Kiriwanaketiya Kele Tank,"•The tank is dilapidated (25 families). 
1. to construct a ferro cement tank of 35 m3 capacity. 
2. Demarcate an area of 10 perch as a reservation around. 
3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 250 m2. ",7.75756,80.733147,"458,500"
1030,Spring near the Rewel Wanguwa (Bend),"Contamination of water and lack of proper maintenance,
1. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.
2. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2.
3.Establishing a CBO and awareness and training programs for operation and maintenance 
4. 50% of pipe cost contribution to be obtained from the users.",7.180683,80.737663,"183,500"
1028,Gurugal Oya water spring,"The spring needs to be developed. (200 potential families in Nawaneliya and Kotagepitiya GNDs). Recommend 1. Demarcate an area of 80 perch as a reservation around the spring. 
2. Create a riparian buffer strip and densely plant mixed vegetation comprising Agave, Vetiver, canes, and areca nut trees, Kumbuk, Mee, Godapara, Kaduru, Aththikka, Wal del, Kekuna, local fruits, and randomly mixed seedlings at a 500 mm grid interval.
3. Apply mulching, organic manure, and NPK fertilizer-covered area 500 m2.
4. Construct two numbers of 35 m3 ferro cement tanks.
5. Establishing a CBO and awareness and training programs for operation and maintenance.
6. 50% of pipe cost contribution to be obtained from the users.",7.158749,80.72929,"1,067,000"
1032,Near the Murapola West Road,"•Contamination of the water and spring located on private land. Recommend to 
1. excavate and construct a 3.0 m diameter x 2.0m deep well using rubble masonry with a 1.0m high protective wall. 
2. Plastering smooth with 1:3 cement mortar 
3. Protective cover with GI welded mesh with 25mm Dia GI pipe frame. 4. Dense forestation of 250 m2.",7.185137,80.746018,"310,000"
1033,Mahaudapitiya Alhuzna Muslim School's well,"The inner surface of the wall is dilapidated, and the covering net of the well is not available. Recommend 1. to chip off the plastering 
2. Replastering with 1:3 cement mortar plastering smooth.
3. Provide 25mm GI pipe frame and GI welded mesh with nylon net cover protection. 
4. Dewatering for three days",7.165056,80.724037,"75,000"
1033,Aswedduma Pihilla,"Absence of a cover for the tank and leakages from the bottom of the tank. Recommend 
1. Lay a 50mm thick grade 30 concrete layer and smooth cement rendering for the bottom. 
2. Repair cracks on walls and replaster damages.
3. Provide 25mm GI pipe frame and GI welded mesh with nylon net cover protection. ",7.162347,80.725125,"65,000"
