Table 6 24: Cost estimates and Time frame,,,,,,,,,,,,
,Item,Responsibility,Supervision,Total Cost (LKR),GOSL LA Contr.(%),GOSL LA Contr. (LKR),24,,25,,26,
1,Marketing and Development of Agricultural products,,,,,,,,,,,
1.1,Mapping of value chain and collection/processing centers,LUPO,AD (P),100000,100%,100000,,,,,,
1.2,Forming producer associations/Farmer groups,AD (P)/AI/LDI/ EDO,AD (P),60000,100%,60000,,,,,,
1.3,MoUs with Line Agencies,DS,DS,100000,75%,75000,,,,,,
1.4,Contract Buying/ Sales Agreements - Local/Export firms,DS/Private sector,DS,100000,75%,75000,,,,,,
1.5,Packaging and Branding,,,,,,,,,,,
1.5.1,Agreement with IDB for branding,IDB,AD (P),,,,,,,,,
1.5.2,Contracts with the private sector for branding,AD (P)/Firms,AD (P),100000,25%,25000,,,,,,
1.6,Monitoring & Evaluation,AD (P),AD (P),,,,,,,,,
2,Market Linkage Development,,,,,,,,,,,
2.1,Briefing session on contracts/agreements with LA/PP,AD (P)/LA/PP,AD (P),,,,,,,,,
2.2,Promote MWS products/services with existing websites,AD (P)/LA/PP,AD (P),,,,,,,,,
2.3,Creating E-market links for products/services,AD (P)/LA/PP,AD (P),,,,,,,,,
2.4,Develop Database and marketing information system,AD (P),AD (P),100000,100%,100000,,,,,,
2.5,Participation in regional trade and consumer fairs,AD (P)/LA,AD (P),60000,100%,60000,,,,,,
2.6,Link producers to financial institutions,AD (P)/LA,DS,100000,75%,75000,,,,,,
2.7,Register youth on existing job sites,HRDO,AD (P),100000,75%,75000,,,,,,
2.8,Monitoring & Evaluation,MWMC,AD (P),,,,,,,,,
3,Infrastructure Development,,,,,,,,,,,
3.1,Identify sites for economic hubs and sales centers,DS/AD (P)/ MDMWPC,DS,40000,100%,40000,,,,,,
3.2,"Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)",DS/AD (P),DS,2000000,100%,2000000,,,,,,
3.3,Identify farmer clusters,MWPC,AD (P),,,,,,,,,
3.4,Refurbish polytunnels for seed nurseries,AI/LDI/EDO,AD (P),2000000,50%,1000000,,,,,,
3.5,Monitoring & Evaluation,MWPC,AD (P),,,,,,,,,
4,,,,,,,,,,,,
4.1,Mapping of value chain and collection/processing centers,LUPO,AD (P),100000,100%,100000,,,,,,
4.2,Forming producer associations,AD (P)/EDO,AD (P),60000,50%,30000,,,,,,
4.3,MoUs with Line Agencies,DS,DS,100000,100%,100000,,,,,,
4.4,Contract Buying/ Sales Agreements - Local/Export firms,DS/Private sector,DS,,,,,,,,,
4.5,Packaging and Branding,,,,,,,,,,,
4.5.1,Agreement with IDB for branding,IDB,AD (P),,,,,,,,,
4.5.2,Contracts with the private sector for branding,DS/Firms,DS,100000,25%,25000,,,,,,
4.6,Monitoring & Evaluation,MWPC,AD (P),,,,,,,,,
5,Tourism Development,,,,,,,,,,,
5.1,MoUs with Line Agencies,AD (P)/SLTPB/PP,DS,,,,,,,,,
5.2,Promote MWS tourism on existing websites,AD (P)/Private sector,AD (P),,,,,,,,,
5.3,Agreements with private sector firms,MWPC,AD (P),200000,50%,100000,,,,,,
5.4,Monitoring and Evaluation,,,,,,,,,,,
,,,,5910000,,4275000,,,,,,
